"dataset","seed","fold","frechet_sparse","frechet_dense","euclid_sparse","euclid_dense","n_sel","p"
"Shape_noise",9,2,1,1,0.944444444444444,0.888888888888889,2,5
"Shape_noise",9,3,0.944444444444444,0.944444444444444,0.777777777777778,0.722222222222222,2,5
"Shape_noise",9,4,1,0.888888888888889,0.944444444444444,0.888888888888889,2,5
"Shape_noise",9,5,1,0.944444444444444,1,0.888888888888889,2,5
"Shape_noise",10,1,1,0.888888888888889,0.944444444444444,0.777777777777778,2,5
"Shape_noise",10,2,1,1,1,0.944444444444444,2,5
"Shape_noise",10,3,1,1,1,0.833333333333333,2,5
"Shape_noise",10,4,1,0.944444444444444,1,1,2,5
"Shape_noise",10,5,1,0.944444444444444,0.833333333333333,0.777777777777778,2,5
"Shape_noise",11,1,1,0.944444444444444,0.944444444444444,0.944444444444444,2,5
"Shape_noise",11,2,0.944444444444444,0.888888888888889,0.888888888888889,0.777777777777778,2,5
"Shape_noise",11,3,1,0.888888888888889,0.944444444444444,0.888888888888889,2,5
"Shape_noise",11,4,1,1,0.944444444444444,0.944444444444444,4,5
"Shape_noise",11,5,1,0.944444444444444,0.944444444444444,0.944444444444444,2,5
"Shape_noise",12,1,1,1,1,0.944444444444444,2,5
"Shape_noise",12,2,1,0.944444444444444,1,0.944444444444444,2,5
"Shape_noise",12,3,1,1,1,0.888888888888889,2,5
"Shape_noise",12,4,1,0.888888888888889,0.944444444444444,0.944444444444444,2,5
"Shape_noise",12,5,1,0.888888888888889,0.833333333333333,0.777777777777778,4,5
"Shape_noise",13,1,1,0.833333333333333,1,0.777777777777778,2,5
"Shape_noise",13,2,1,0.888888888888889,1,0.944444444444444,5,5
"Shape_noise",13,3,1,1,0.944444444444444,0.722222222222222,5,5
"Shape_noise",13,4,1,0.888888888888889,0.777777777777778,0.777777777777778,2,5
"Shape_noise",13,5,1,0.777777777777778,0.944444444444444,0.833333333333333,5,5
"Shape_noise",14,1,1,0.888888888888889,0.888888888888889,0.833333333333333,5,5
"Shape_noise",14,2,1,1,1,0.944444444444444,5,5
"Shape_noise",14,3,1,0.833333333333333,0.833333333333333,0.777777777777778,2,5
"Shape_noise",14,4,1,0.944444444444444,0.888888888888889,0.833333333333333,2,5
"Shape_noise",14,5,1,0.777777777777778,0.944444444444444,0.722222222222222,2,5
"Shape_noise",15,1,1,1,0.944444444444444,0.777777777777778,2,5
"Shape_noise",15,2,0.944444444444444,0.888888888888889,0.888888888888889,0.722222222222222,2,5
"Shape_noise",15,3,1,0.944444444444444,1,0.944444444444444,5,5
"Shape_noise",15,4,1,0.833333333333333,0.944444444444444,0.888888888888889,2,5
"Shape_noise",15,5,1,0.833333333333333,1,0.888888888888889,2,5
"Shape_noise",16,1,1,0.944444444444444,0.944444444444444,0.888888888888889,2,5
"Shape_noise",16,2,1,0.944444444444444,1,0.944444444444444,2,5
"Shape_noise",16,3,1,0.777777777777778,0.833333333333333,0.888888888888889,2,5
"Shape_noise",16,4,1,0.888888888888889,0.944444444444444,0.888888888888889,2,5
"Shape_noise",16,5,1,1,1,0.777777777777778,2,5
"Shape_noise",17,1,1,0.833333333333333,0.944444444444444,0.833333333333333,2,5
"Shape_noise",17,2,1,0.888888888888889,0.888888888888889,0.888888888888889,2,5
"Shape_noise",17,3,1,0.888888888888889,0.944444444444444,0.888888888888889,5,5
"Shape_noise",17,4,1,0.833333333333333,0.777777777777778,0.722222222222222,2,5
"Shape_noise",17,5,1,0.944444444444444,1,0.944444444444444,2,5
"Shape_noise",18,1,1,0.944444444444444,1,0.888888888888889,2,5
"Shape_noise",18,2,1,1,0.944444444444444,0.833333333333333,2,5
"Shape_noise",18,3,1,0.944444444444444,0.888888888888889,0.666666666666667,2,5
"Shape_noise",18,4,1,0.944444444444444,1,0.888888888888889,2,5
"Shape_noise",18,5,0.944444444444444,0.777777777777778,0.777777777777778,0.777777777777778,2,5
"Shape_noise",19,1,0.944444444444444,1,0.944444444444444,0.833333333333333,2,5
"Shape_noise",19,2,0.944444444444444,0.944444444444444,0.888888888888889,0.777777777777778,2,5
"Shape_noise",19,3,1,0.777777777777778,0.944444444444444,0.833333333333333,5,5
"Shape_noise",19,4,0.944444444444444,0.944444444444444,1,0.944444444444444,2,5
"Shape_noise",19,5,0.833333333333333,0.833333333333333,0.944444444444444,0.833333333333333,2,5
"Shape_noise",20,1,1,1,0.833333333333333,0.944444444444444,2,5
"Shape_noise",20,2,0.944444444444444,0.944444444444444,0.888888888888889,0.888888888888889,2,5
"Shape_noise",20,3,1,0.833333333333333,1,0.833333333333333,2,5
"Shape_noise",20,4,1,0.833333333333333,0.944444444444444,0.944444444444444,2,5
"Shape_noise",20,5,1,1,0.944444444444444,0.833333333333333,2,5
"Phase",1,1,1,1,0.944444444444444,0.722222222222222,2,5
"Phase",1,2,0.944444444444444,0.944444444444444,0.944444444444444,0.722222222222222,2,5
"Phase",1,3,0.944444444444444,0.833333333333333,0.722222222222222,0.5,2,5
"Phase",1,4,0.944444444444444,0.888888888888889,0.888888888888889,0.722222222222222,5,5
"Phase",1,5,1,0.833333333333333,0.833333333333333,0.777777777777778,2,5
"Phase",2,1,1,0.944444444444444,1,0.777777777777778,2,5
"Phase",2,2,1,0.888888888888889,0.833333333333333,0.722222222222222,2,5
"Phase",2,3,1,0.944444444444444,0.888888888888889,0.5,2,5
"Phase",2,4,1,1,0.944444444444444,0.722222222222222,2,5
"Phase",2,5,1,0.888888888888889,0.888888888888889,0.777777777777778,2,5
"Phase",3,1,1,0.888888888888889,0.944444444444444,0.666666666666667,4,5
"Phase",3,2,1,0.888888888888889,0.888888888888889,0.611111111111111,2,5
"Phase",3,3,1,0.888888888888889,0.833333333333333,0.5,2,5
"Phase",3,4,0.944444444444444,0.944444444444444,0.777777777777778,0.611111111111111,2,5
"Phase",3,5,1,0.888888888888889,0.777777777777778,0.5,2,5
"Phase",4,1,0.944444444444444,0.944444444444444,0.777777777777778,0.555555555555556,3,5
"Phase",4,2,1,0.944444444444444,0.888888888888889,0.722222222222222,5,5
"Phase",4,3,0.944444444444444,0.944444444444444,0.777777777777778,0.611111111111111,2,5
"Phase",4,4,1,0.944444444444444,0.833333333333333,0.666666666666667,2,5
"Phase",4,5,1,1,1,0.777777777777778,2,5
"Phase",5,1,1,0.888888888888889,0.944444444444444,0.722222222222222,2,5
"Phase",5,2,1,0.888888888888889,0.722222222222222,0.722222222222222,2,5
"Phase",5,3,0.944444444444444,0.833333333333333,1,0.611111111111111,2,5
"Phase",5,4,1,0.944444444444444,0.888888888888889,0.666666666666667,2,5
"Phase",5,5,0.944444444444444,0.833333333333333,0.833333333333333,0.555555555555556,2,5
"Phase",6,1,0.944444444444444,0.833333333333333,0.777777777777778,0.777777777777778,2,5
"Phase",6,2,1,1,1,0.944444444444444,2,5
"Phase",6,3,0.888888888888889,0.888888888888889,0.944444444444444,0.944444444444444,2,5
"Phase",6,4,0.944444444444444,0.944444444444444,0.888888888888889,0.888888888888889,4,5
"Phase",6,5,0.944444444444444,0.944444444444444,0.833333333333333,0.722222222222222,2,5
"Phase",7,1,1,0.944444444444444,0.944444444444444,0.833333333333333,5,5
"Phase",7,2,1,0.777777777777778,0.833333333333333,0.666666666666667,2,5
"Phase",7,3,0.888888888888889,0.833333333333333,0.777777777777778,0.611111111111111,2,5
"Phase",7,4,0.833333333333333,0.833333333333333,0.833333333333333,0.555555555555556,2,5
"Phase",7,5,1,0.888888888888889,0.944444444444444,0.888888888888889,2,5
"Phase",8,1,0.888888888888889,0.888888888888889,1,0.777777777777778,2,5
"Phase",8,2,0.944444444444444,0.833333333333333,0.888888888888889,0.611111111111111,2,5
"Phase",8,3,1,0.944444444444444,0.666666666666667,0.555555555555556,2,5
