"dataset","seed","fold","n_var","n_info_included","k_sel","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"HighDim20",12,4,18,3,5,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.226406165750509,0.115555555555556
"HighDim20",12,4,19,3,5,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.153665425751411,0.0844444444444444
"HighDim20",12,4,20,3,5,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.206838354995545,0.111111111111111
"HighDim20",12,5,1,1,1,1,1,1,1,1,1,1,NA,0,0
"HighDim20",12,5,2,2,3,1,1,1,1,1,1,1,NA,0.0225258393393425,0.0123456790123457
"HighDim20",12,5,3,3,1,1,1,1,1,1,1,1,NA,0,0
"HighDim20",12,5,4,3,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"HighDim20",12,5,5,3,1,1,1,1,1,1,1,1,NA,0,0
"HighDim20",12,5,6,3,1,1,1,1,1,1,1,1,NA,0,0
"HighDim20",12,5,7,3,5,1,1,1,1,1,1,1,NA,0.0531729292441339,0.0266666666666667
"HighDim20",12,5,8,3,5,1,1,1,1,1,1,1,NA,0.097534467922899,0.0533333333333333
"HighDim20",12,5,9,3,1,1,1,1,1,1,1,1,NA,0,0
"HighDim20",12,5,10,3,1,1,1,1,1,1,1,1,NA,0,0
"HighDim20",12,5,11,3,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"HighDim20",12,5,12,3,1,0.888888888888889,0.888888888888889,0.916666666666667,0.888888888888889,0.885714285714286,0.888888888888889,0.833333333333333,NA,3.83764182165674,0.222222222222222
"HighDim20",12,5,13,3,11,1,1,1,1,1,1,1,NA,0.241125987639075,0.109274563820018
"HighDim20",12,5,14,3,11,1,1,1,1,1,1,1,NA,0.252958830964085,0.116620752984389
"HighDim20",12,5,15,3,11,1,1,1,1,1,1,1,NA,0.292341916382312,0.145087235996327
