"dataset","method","family","needs_grid","seed","fold","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier","k_sel","gamma_sel","s_sel","n_sel","lambda","seconds","ok","error"
"Epilepsy","1NN-DTW","distance",FALSE,3,4,1,1,1,1,1,1,1,NA,0,0,1,NA,NA,3,0.390243902439024,0.00132203102111816,TRUE,""
"Epilepsy","1NN-DDTW","distance",FALSE,3,4,0.981481481481482,0.980769230769231,0.984375,0.980769230769231,0.981935483870968,0.981481481481482,0.975229357798165,NA,1.14495355452181,0.624900586038015,1,NA,NA,NA,0.390243902439024,0.404939889907837,TRUE,""
"Epilepsy","NC-DBA","distance",FALSE,3,4,0.925925925925926,0.924038461538462,0.924038461538462,0.924038461538462,0.922758620689655,0.925925925925926,0.901098901098901,NA,1.19969539386357,0.651756196227412,NA,NA,NA,NA,0.390243902439024,0.272133111953735,TRUE,""
"Epilepsy","MaxDepth-MBD","depth",TRUE,3,4,0.462962962962963,0.475961538461538,0.443910256410256,0.475961538461538,0.382075471698113,0.462962962962963,0.283950617283951,NA,1.27017721441264,0.691257799175176,NA,NA,NA,NA,0.390243902439024,0.0986268520355225,TRUE,""
"Epilepsy","MaxDepth-MBD (w)","depth",TRUE,3,4,0.259259259259259,0.25,0.0648148148148148,0.25,0.102941176470588,0.259259259259259,0,NA,1.31490438477532,0.717740973882698,NA,NA,NA,NA,0.390243902439024,0.168304920196533,TRUE,""
"Epilepsy","MaxDepth-MFHD","depth",TRUE,3,4,0.240740740740741,0.25,0.0601851851851852,0.25,0.0970149253731343,0.240740740740741,0,NA,34.5387763949107,1,NA,NA,NA,NA,0.390243902439024,0.0570571422576904,TRUE,""
"Epilepsy","DD-classifier","depth",TRUE,3,4,0.814814814814815,0.816529304029304,0.815888278388278,0.816529304029304,0.812275132275132,0.814814814814815,0.753312014618547,NA,1.4003316688541,0.461934156378601,NA,NA,NA,NA,0.390243902439024,8.83105087280273,TRUE,""
"Epilepsy","DistSpace-Frechet","depth",FALSE,3,4,0.740740740740741,0.745512820512821,0.737179487179487,0.745512820512821,0.738042328042328,0.740740740740741,0.654636820465966,NA,4.06046810266063,0.374485596707819,3,NA,NA,2,0.390243902439024,0.0806741714477539,TRUE,""
"Epilepsy","DistSpace-bagdist","depth",TRUE,3,4,0.888888888888889,0.891117216117216,0.888736263736264,0.891117216117216,0.887955594852147,0.888888888888889,0.851851851851852,NA,0.872679065020772,0.185185185185185,5,NA,NA,NA,0.390243902439024,0.624383926391602,TRUE,""
"Epilepsy","MFPCA-LDA","functional",TRUE,3,4,0.574074074074074,0.583287545787546,0.5467254784689,0.583287545787546,0.549908424908425,0.574074074074074,0.432617633622659,NA,0.892644274936986,0.537653995094431,NA,NA,NA,NA,0.390243902439024,0.0435280799865723,TRUE,""
"Epilepsy","MFPCA-SVM","functional",TRUE,3,4,0.833333333333333,0.837362637362637,0.837362637362637,0.837362637362637,0.832964927792514,0.833333333333333,0.777980813156693,NA,0.386027499244573,0.22261350365779,NA,NA,NA,NA,0.390243902439024,0.0651321411132812,TRUE,""
"Epilepsy","MFPLS-DA","functional",TRUE,3,4,0.62962962962963,0.63525641025641,0.637896825396825,0.63525641025641,0.614475500345066,0.62962962962963,0.50435979807251,NA,1.10464837240391,0.545576761795791,NA,NA,NA,NA,0.390243902439024,0.023888111114502,TRUE,""
"Epilepsy","Subspace","functional",TRUE,3,4,0.777777777777778,0.76717032967033,0.81875,0.76717032967033,0.770479520479521,0.777777777777778,0.700554528650647,NA,1.2428696233374,0.672512248219721,NA,NA,NA,NA,0.390243902439024,0.142927169799805,TRUE,""
"Epilepsy","SFKmL-C(dense) + medoid","proposed",FALSE,3,4,0.62962962962963,0.631272893772894,0.650167084377611,0.631272893772894,0.627497919210934,0.62962962962963,0.507523939808482,NA,1.20876048284245,0.65953824231657,NA,1,1.73205080756888,3,0.390243902439024,0.00236797332763672,TRUE,""
"Epilepsy","MFKmL-C + medoid","proposed",FALSE,3,4,0.611111111111111,0.616391941391941,0.65547600619195,0.616391941391941,0.613671274961598,0.611111111111111,0.481955230698949,NA,1.25895670324097,0.684341713866445,NA,1,1.73205080756888,3,0.390243902439024,0.000455856323242188,TRUE,""
"Epilepsy","DTW + medoid","distance",FALSE,3,4,0.62962962962963,0.625869963369963,0.71734943977591,0.625869963369963,0.642929292929293,0.62962962962963,0.502762430939226,NA,1.23557901314739,0.671463342744427,NA,1,1.73205080756888,3,0.390243902439024,0.000413894653320312,TRUE,""
"Epilepsy","Euclid + medoid","distance",TRUE,3,4,0.351851851851852,0.346153846153846,0.297949735449735,0.346153846153846,0.300068352699932,0.351851851851852,0.12782648823258,NA,1.34492664567898,0.726194877816592,NA,1,1.73205080756888,3,0.390243902439024,0.00041508674621582,TRUE,""
"Epilepsy","SFKmL-C + medoid","proposed",FALSE,3,4,0.574074074074074,0.571016483516483,0.518421052631579,0.571016483516483,0.533693937345053,0.574074074074074,0.429227941176471,NA,1.16288180587546,0.642825970337028,NA,1,1.02,2,0.390243902439024,0.0472869873046875,TRUE,""
"Epilepsy","SFKmL-C(dense) + mean","proposed",FALSE,3,4,0.592592592592593,0.603479853479853,0.646995977878331,0.603479853479853,0.589417989417989,0.592592592592593,0.461712732215677,NA,1.30355086273677,0.708039536020735,NA,1,1.73205080756888,3,0.390243902439024,0.457082986831665,TRUE,""
