"dataset","method","seed","fold","variable","w","informative"
"Epilepsy","DTW + kNN",1,3,"V03",1,NA
"Epilepsy","Euclid + kNN",1,3,"V01",1,NA
"Epilepsy","Euclid + kNN",1,3,"V02",1,NA
"Epilepsy","Euclid + kNN",1,3,"V03",1,NA
"Epilepsy","SFKmL-C + kNN",1,3,"V01",0.327925673478725,NA
"Epilepsy","SFKmL-C + kNN",1,3,"V02",0.94470352633698,NA
"Epilepsy","SFKmL-C + kNN",1,3,"V03",0,NA
"Epilepsy","SFKmL-C(dense) + SVM",1,3,"V01",1,NA
"Epilepsy","SFKmL-C(dense) + SVM",1,3,"V02",1,NA
"Epilepsy","SFKmL-C(dense) + SVM",1,3,"V03",1,NA
"Epilepsy","MFKmL-C + SVM",1,3,"V01",1,NA
"Epilepsy","MFKmL-C + SVM",1,3,"V02",1,NA
"Epilepsy","MFKmL-C + SVM",1,3,"V03",1,NA
"Epilepsy","DTW + SVM",1,3,"V01",1,NA
"Epilepsy","DTW + SVM",1,3,"V02",1,NA
"Epilepsy","DTW + SVM",1,3,"V03",1,NA
"Epilepsy","Euclid + SVM",1,3,"V01",1,NA
"Epilepsy","Euclid + SVM",1,3,"V02",1,NA
"Epilepsy","Euclid + SVM",1,3,"V03",1,NA
"Epilepsy","SFKmL-C + SVM",1,3,"V01",0.327925673478725,NA
"Epilepsy","SFKmL-C + SVM",1,3,"V02",0.94470352633698,NA
"Epilepsy","SFKmL-C + SVM",1,3,"V03",0,NA
"Epilepsy","SFKmL-C(dense) + kFDA",1,3,"V01",1,NA
"Epilepsy","SFKmL-C(dense) + kFDA",1,3,"V02",1,NA
"Epilepsy","SFKmL-C(dense) + kFDA",1,3,"V03",1,NA
"Epilepsy","MFKmL-C + kFDA",1,3,"V01",1,NA
"Epilepsy","MFKmL-C + kFDA",1,3,"V02",1,NA
"Epilepsy","MFKmL-C + kFDA",1,3,"V03",1,NA
"Epilepsy","DTW + kFDA",1,3,"V01",1,NA
"Epilepsy","DTW + kFDA",1,3,"V02",1,NA
"Epilepsy","DTW + kFDA",1,3,"V03",1,NA
"Epilepsy","Euclid + kFDA",1,3,"V01",1,NA
"Epilepsy","Euclid + kFDA",1,3,"V02",1,NA
"Epilepsy","Euclid + kFDA",1,3,"V03",1,NA
"Epilepsy","SFKmL-C + kFDA",1,3,"V01",0.327925673478725,NA
"Epilepsy","SFKmL-C + kFDA",1,3,"V02",0.94470352633698,NA
"Epilepsy","SFKmL-C + kFDA",1,3,"V03",0,NA
"Epilepsy","SFKmL-C(gap) + medoid",1,4,"V01",0.482947006372701,NA
"Epilepsy","SFKmL-C(gap) + medoid",1,4,"V02",0.715754438295127,NA
"Epilepsy","SFKmL-C(gap) + medoid",1,4,"V03",0.504438076572807,NA
"Epilepsy","SFKmL-C(gaplab) + medoid",1,4,"V01",0,NA
"Epilepsy","SFKmL-C(gaplab) + medoid",1,4,"V02",0.999795875850338,NA
"Epilepsy","SFKmL-C(gaplab) + medoid",1,4,"V03",0.0202041241496616,NA
"Epilepsy","1NN-Euclid",1,4,"V01",1,NA
"Epilepsy","1NN-Euclid",1,4,"V02",1,NA
"Epilepsy","1NN-Euclid",1,4,"V03",1,NA
"Epilepsy","1NN-DTW",1,4,"V01",1,NA
"Epilepsy","1NN-DTW",1,4,"V02",1,NA
"Epilepsy","1NN-DTW",1,4,"V03",1,NA
"Epilepsy","DistSpace-Frechet",1,4,"V01",0.0328540449283936,NA
"Epilepsy","DistSpace-Frechet",1,4,"V02",0.992059697575404,NA
"Epilepsy","DistSpace-Frechet",1,4,"V03",0.121400857404057,NA
"Epilepsy","SFKmL-C(dense) + medoid",1,4,"V01",1,NA
"Epilepsy","SFKmL-C(dense) + medoid",1,4,"V02",1,NA
"Epilepsy","SFKmL-C(dense) + medoid",1,4,"V03",1,NA
"Epilepsy","MFKmL-C + medoid",1,4,"V01",1,NA
"Epilepsy","MFKmL-C + medoid",1,4,"V02",1,NA
"Epilepsy","MFKmL-C + medoid",1,4,"V03",1,NA
"Epilepsy","DTW + medoid",1,4,"V01",1,NA
"Epilepsy","DTW + medoid",1,4,"V02",1,NA
"Epilepsy","DTW + medoid",1,4,"V03",1,NA
"Epilepsy","Euclid + medoid",1,4,"V01",1,NA
"Epilepsy","Euclid + medoid",1,4,"V02",1,NA
"Epilepsy","Euclid + medoid",1,4,"V03",1,NA
"Epilepsy","SFKmL-C + medoid",1,4,"V01",0.0328540449283936,NA
"Epilepsy","SFKmL-C + medoid",1,4,"V02",0.992059697575404,NA
"Epilepsy","SFKmL-C + medoid",1,4,"V03",0.121400857404057,NA
"Epilepsy","SFKmL-C(dense) + mean",1,4,"V01",1,NA
"Epilepsy","SFKmL-C(dense) + mean",1,4,"V02",1,NA
"Epilepsy","SFKmL-C(dense) + mean",1,4,"V03",1,NA
"Epilepsy","MFKmL-C + mean",1,4,"V01",1,NA
"Epilepsy","MFKmL-C + mean",1,4,"V02",1,NA
"Epilepsy","MFKmL-C + mean",1,4,"V03",1,NA
"Epilepsy","DTW + DBA",1,4,"V01",1,NA
"Epilepsy","DTW + DBA",1,4,"V02",1,NA
"Epilepsy","DTW + DBA",1,4,"V03",1,NA
"Epilepsy","Euclid + centroid",1,4,"V01",1,NA
"Epilepsy","Euclid + centroid",1,4,"V02",1,NA
"Epilepsy","Euclid + centroid",1,4,"V03",1,NA
"Epilepsy","SFKmL-C + mean",1,4,"V01",0.0328540449283936,NA
"Epilepsy","SFKmL-C + mean",1,4,"V02",0.992059697575404,NA
"Epilepsy","SFKmL-C + mean",1,4,"V03",0.121400857404057,NA
"Epilepsy","SFKmL-C(dense) + kNN",1,4,"V01",1,NA
"Epilepsy","SFKmL-C(dense) + kNN",1,4,"V02",1,NA
"Epilepsy","SFKmL-C(dense) + kNN",1,4,"V03",1,NA
"Epilepsy","MFKmL-C + kNN",1,4,"V01",1,NA
"Epilepsy","MFKmL-C + kNN",1,4,"V02",1,NA
"Epilepsy","MFKmL-C + kNN",1,4,"V03",1,NA
"Epilepsy","DTW + kNN",1,4,"V01",1,NA
"Epilepsy","DTW + kNN",1,4,"V02",1,NA
"Epilepsy","DTW + kNN",1,4,"V03",1,NA
"Epilepsy","Euclid + kNN",1,4,"V01",1,NA
"Epilepsy","Euclid + kNN",1,4,"V02",1,NA
"Epilepsy","Euclid + kNN",1,4,"V03",1,NA
"Epilepsy","SFKmL-C + kNN",1,4,"V01",0.0328540449283936,NA
"Epilepsy","SFKmL-C + kNN",1,4,"V02",0.992059697575404,NA
"Epilepsy","SFKmL-C + kNN",1,4,"V03",0.121400857404057,NA
"Epilepsy","SFKmL-C(dense) + SVM",1,4,"V01",1,NA
"Epilepsy","SFKmL-C(dense) + SVM",1,4,"V02",1,NA
"Epilepsy","SFKmL-C(dense) + SVM",1,4,"V03",1,NA
"Epilepsy","MFKmL-C + SVM",1,4,"V01",1,NA
"Epilepsy","MFKmL-C + SVM",1,4,"V02",1,NA
"Epilepsy","MFKmL-C + SVM",1,4,"V03",1,NA
"Epilepsy","DTW + SVM",1,4,"V01",1,NA
"Epilepsy","DTW + SVM",1,4,"V02",1,NA
"Epilepsy","DTW + SVM",1,4,"V03",1,NA
"Epilepsy","Euclid + SVM",1,4,"V01",1,NA
"Epilepsy","Euclid + SVM",1,4,"V02",1,NA
"Epilepsy","Euclid + SVM",1,4,"V03",1,NA
"Epilepsy","SFKmL-C + SVM",1,4,"V01",0.0328540449283936,NA
"Epilepsy","SFKmL-C + SVM",1,4,"V02",0.992059697575404,NA
"Epilepsy","SFKmL-C + SVM",1,4,"V03",0.121400857404057,NA
"Epilepsy","SFKmL-C(dense) + kFDA",1,4,"V01",1,NA
"Epilepsy","SFKmL-C(dense) + kFDA",1,4,"V02",1,NA
