"dataset","seed","fold","distance","gamma_mult","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"Epilepsy",2,4,"MFCL",0.125,0.907407407407407,0.906181318681319,0.908928571428571,0.906181318681319,0.905612535612536,0.907407407407407,0.876430205949657,NA,0.916022740811873,0.485828554004041
"Epilepsy",2,4,"MFCL",0.25,0.888888888888889,0.885347985347985,0.890224358974359,0.885347985347985,0.886547192353644,0.888888888888889,0.851512373968836,NA,0.915305255205306,0.48484776204175
"Epilepsy",2,4,"MFCL",0.5,0.851851851851852,0.845283882783883,0.854367201426025,0.845283882783883,0.846873438280859,0.851851851851852,0.801470588235294,NA,0.919598594492923,0.485442115969912
"Epilepsy",2,4,"MFCL",1,0.87037037037037,0.863324175824176,0.867441382147265,0.863324175824176,0.863787857673727,0.87037037037037,0.826446280991736,NA,0.937476904178825,0.493292604788983
"Epilepsy",2,4,"MFCL",2,0.814814814814815,0.816712454212454,0.823211102622867,0.816712454212454,0.814663461538462,0.814814814814815,0.752633989922125,NA,0.97808624637821,0.52118391130419
"Epilepsy",2,4,"MFCL",4,0.796296296296296,0.787591575091575,0.803819444444444,0.787591575091575,0.782954545454545,0.796296296296296,0.726770929162833,NA,0.988581018323326,0.523503889040907
"Epilepsy",2,4,"MFCL",8,0.703703703703704,0.701053113553114,0.712572721396251,0.701053113553114,0.701948051948052,0.703703703703704,0.604395604395604,NA,1.07528973646688,0.585993075271847
"Epilepsy",2,5,"SFCL",0.125,0.905660377358491,0.904990842490842,0.904990842490842,0.904990842490842,0.904990842490842,0.905660377358491,0.874049429657795,NA,0.809520930418111,0.428758511022676
"Epilepsy",2,5,"SFCL",0.25,0.886792452830189,0.8871336996337,0.889880952380952,0.8871336996337,0.887896825396825,0.886792452830189,0.848931116389549,NA,0.815929159620991,0.432631296493241
"Epilepsy",2,5,"SFCL",0.5,0.849056603773585,0.851419413919414,0.870833333333333,0.851419413919414,0.85555900621118,0.849056603773585,0.798479087452472,NA,0.813987489832663,0.43042006783433
"Epilepsy",2,5,"SFCL",1,0.830188679245283,0.833562271062271,0.855208333333333,0.833562271062271,0.838892339544513,0.830188679245283,0.77328897338403,NA,0.79590575878215,0.419118260144425
"Epilepsy",2,5,"SFCL",2,0.830188679245283,0.830815018315018,0.829807692307692,0.830815018315018,0.82911877394636,0.830188679245283,0.773396674584323,NA,0.837884089003899,0.443189128719881
"Epilepsy",2,5,"SFCL",4,0.867924528301887,0.866300366300366,0.876311188811189,0.866300366300366,0.869670506627028,0.867924528301887,0.823501427212179,NA,0.857370690031478,0.450561648178778
"Epilepsy",2,5,"SFCL",8,0.849056603773585,0.847298534798535,0.849038461538462,0.847298534798535,0.843913043478261,0.849056603773585,0.798383262006657,NA,0.883282303158833,0.472938488994721
"Epilepsy",2,5,"MFCL",0.125,0.830188679245283,0.831043956043956,0.821428571428571,0.831043956043956,0.820824706694272,0.830188679245283,0.773611770289511,NA,0.973225495354954,0.517982910312583
"Epilepsy",2,5,"MFCL",0.25,0.830188679245283,0.831043956043956,0.821428571428571,0.831043956043956,0.820824706694272,0.830188679245283,0.773611770289511,NA,0.977180847251076,0.520160748712287
"Epilepsy",2,5,"MFCL",0.5,0.811320754716981,0.805631868131868,0.814349376114082,0.805631868131868,0.804492914832906,0.811320754716981,0.747498808956646,NA,0.971981714922953,0.516802154886597
"Epilepsy",2,5,"MFCL",1,0.735849056603774,0.731456043956044,0.742830634278003,0.731456043956044,0.72790404040404,0.735849056603774,0.646666666666667,NA,0.985159450152142,0.525593821569801
"Epilepsy",2,5,"MFCL",2,0.811320754716981,0.814331501831502,0.829326923076923,0.814331501831502,0.816117496807152,0.811320754716981,0.748696064485538,NA,0.984719276027274,0.524371656529971
"Epilepsy",2,5,"MFCL",4,0.735849056603774,0.727106227106227,0.747916666666667,0.727106227106227,0.713060428849903,0.735849056603774,0.64717070851165,NA,0.992882780869657,0.531811754354679
"Epilepsy",2,5,"MFCL",8,0.716981132075472,0.716346153846154,0.71474358974359,0.716346153846154,0.710069786535304,0.716981132075472,0.622865275142315,NA,1.06266746612881,0.575172283422516
"Epilepsy",3,1,"SFCL",0.125,0.928571428571429,0.927976190476191,0.930059523809524,0.927976190476191,0.928495285767255,0.928571428571429,0.904518329070759,NA,0.86058845172018,0.450136692680249
"Epilepsy",3,1,"SFCL",0.25,0.928571428571429,0.927976190476191,0.930059523809524,0.927976190476191,0.928495285767255,0.928571428571429,0.904518329070759,NA,0.84630090670286,0.441642839586972
"Epilepsy",3,1,"SFCL",0.5,0.946428571428571,0.944642857142857,0.947916666666667,0.944642857142857,0.945713859020311,0.946428571428571,0.928358208955224,NA,0.833964335212822,0.434056849379896
"Epilepsy",3,1,"SFCL",1,0.964285714285714,0.9625,0.970588235294118,0.9625,0.964884745127436,0.964285714285714,0.952198036705079,NA,0.815199258816893,0.421793615569527
