"dataset","seed","fold","distance","k","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"Epilepsy",1,3,"SFCL",11,0.821428571428571,0.823809523809524,0.835200746965453,0.823809523809524,0.80325421704732,0.821428571428571,0.762107051826678,NA,0.426143577416373,0.254132231404959
"Epilepsy",1,3,"MFCL",1,0.732142857142857,0.739880952380952,0.778101929030722,0.739880952380952,0.730134552354666,0.732142857142857,0.642857142857143,NA,9.2514579629225,0.535714285714286
"Epilepsy",1,3,"MFCL",3,0.696428571428571,0.704166666666667,0.729385964912281,0.704166666666667,0.6937932177702,0.696428571428571,0.595753715498938,NA,4.58593229878817,0.416666666666667
"Epilepsy",1,3,"MFCL",5,0.696428571428571,0.710714285714286,0.759046052631579,0.710714285714286,0.685326770004189,0.696428571428571,0.597122302158273,NA,1.73402678293453,0.398571428571429
"Epilepsy",1,3,"MFCL",7,0.714285714285714,0.727380952380952,0.766176470588235,0.727380952380952,0.708829365079365,0.714285714285714,0.620178041543027,NA,1.7811578503987,0.40597667638484
"Epilepsy",1,3,"MFCL",9,0.714285714285714,0.727380952380952,0.766176470588235,0.727380952380952,0.708829365079365,0.714285714285714,0.620178041543027,NA,1.23046295162465,0.404320987654321
"Epilepsy",1,3,"MFCL",11,0.696428571428571,0.70952380952381,0.748202614379085,0.70952380952381,0.691081320113578,0.696428571428571,0.59626802374894,NA,1.23285295706376,0.399055489964581
"Epilepsy",1,4,"SFCL",1,0.907407407407407,0.904807692307692,0.915178571428571,0.904807692307692,0.904736217499191,0.907407407407407,0.876260311640697,NA,3.19803485138062,0.185185185185185
"Epilepsy",1,4,"SFCL",3,0.888888888888889,0.885576923076923,0.902310924369748,0.885576923076923,0.884833916083916,0.888888888888889,0.851376146788991,NA,1.41097175306657,0.168724279835391
"Epilepsy",1,4,"SFCL",5,0.907407407407407,0.904807692307692,0.915178571428571,0.904807692307692,0.904736217499191,0.907407407407407,0.876260311640697,NA,1.43713408130419,0.165925925925926
"Epilepsy",1,4,"SFCL",7,0.87037037037037,0.866346153846154,0.88921568627451,0.866346153846154,0.862929894179894,0.87037037037037,0.826685006877579,NA,0.900975282811893,0.194255479969766
"Epilepsy",1,4,"SFCL",9,0.833333333333333,0.831822344322344,0.847222222222222,0.831822344322344,0.828664913342333,0.833333333333333,0.777574370709382,NA,0.942954931940149,0.217192501143118
"Epilepsy",1,4,"SFCL",11,0.814814814814815,0.812591575091575,0.825402661064426,0.812591575091575,0.805638227513228,0.814814814814815,0.752407152682256,NA,0.982925717358579,0.23048668503214
"Epilepsy",1,4,"MFCL",1,0.851851851851852,0.847069597069597,0.873106060606061,0.847069597069597,0.85167701863354,0.851851851851852,0.801287948482061,NA,5.11685576220899,0.296296296296296
"Epilepsy",1,4,"MFCL",3,0.814814814814815,0.812728937728938,0.833974358974359,0.812728937728938,0.805519480519481,0.814814814814815,0.752633989922125,NA,3.40269762769911,0.304526748971193
"Epilepsy",1,4,"MFCL",5,0.833333333333333,0.830586080586081,0.847069597069597,0.830586080586081,0.826628604889474,0.833333333333333,0.777268560953254,NA,2.86860305050218,0.331851851851852
"Epilepsy",1,4,"MFCL",7,0.777777777777778,0.774267399267399,0.799016772700983,0.774267399267399,0.767791032496915,0.777777777777778,0.703024747937672,NA,2.95975575633244,0.377173091458806
"Epilepsy",1,4,"MFCL",9,0.722222222222222,0.717948717948718,0.759821428571429,0.717948717948718,0.705745341614907,0.722222222222222,0.628610729023384,NA,1.19736753016327,0.385459533607682
"Epilepsy",1,4,"MFCL",11,0.703703703703704,0.700091575091575,0.743649732620321,0.700091575091575,0.682532840722496,0.703703703703704,0.604576659038902,NA,1.23287733698842,0.397918579736762
"Epilepsy",1,5,"SFCL",1,0.943396226415094,0.943681318681319,0.946428571428571,0.943681318681319,0.942078754578755,0.943396226415094,0.924501424501424,NA,1.95502507895721,0.113207547169811
"Epilepsy",1,5,"SFCL",3,0.867924528301887,0.869505494505495,0.882239819004525,0.869505494505495,0.865511688600144,0.867924528301887,0.824253908100426,NA,1.44524414667364,0.171907756813417
"Epilepsy",1,5,"SFCL",5,0.867924528301887,0.869505494505495,0.891666666666667,0.869505494505495,0.867162145423015,0.867924528301887,0.824420255560814,NA,1.50104914886473,0.181132075471698
"Epilepsy",1,5,"SFCL",7,0.886792452830189,0.887362637362637,0.916666666666667,0.887362637362637,0.885314685314685,0.886792452830189,0.849431818181818,NA,1.56904213244004,0.212552945706585
"Epilepsy",1,5,"SFCL",9,0.886792452830189,0.885989010989011,0.916666666666667,0.885989010989011,0.881216931216931,0.886792452830189,0.849360492657508,NA,0.992347974984236,0.220358723503378
"Epilepsy",1,5,"SFCL",11,0.886792452830189,0.885989010989011,0.916666666666667,0.885989010989011,0.881216931216931,0.886792452830189,0.849360492657508,NA,1.05528402520226,0.248869483860908
"Epilepsy",1,5,"MFCL",1,0.754716981132076,0.760760073260073,0.80042735042735,0.760760073260073,0.75485354097145,0.754716981132076,0.673614400757935,NA,8.4717753421479,0.490566037735849
"Epilepsy",1,5,"MFCL",3,0.792452830188679,0.794871794871795,0.825396825396825,0.794871794871795,0.795690576370801,0.792452830188679,0.723565670934092,NA,4.73644273993104,0.364779874213837
"Epilepsy",1,5,"MFCL",5,0.811320754716981,0.812957875457875,0.82579185520362,0.812957875457875,0.811087675765095,0.811320754716981,0.748338081671415,NA,2.91086709561689,0.332075471698113
"Epilepsy",1,5,"MFCL",7,0.716981132075472,0.719322344322344,0.749084249084249,0.719322344322344,0.715472027972028,0.716981132075472,0.622865275142315,NA,1.75950293350456,0.361185983827493
"Epilepsy",1,5,"MFCL",9,0.716981132075472,0.717948717948718,0.745557074504443,0.717948717948718,0.715611381372251,0.716981132075472,0.622507122507122,NA,1.79775634337734,0.372233869089215
"Epilepsy",1,5,"MFCL",11,0.735849056603774,0.737179487179487,0.762820512820513,0.737179487179487,0.736998327759197,0.735849056603774,0.647673314339981,NA,1.83318152573428,0.385155153594262
"Epilepsy",2,1,"SFCL",1,0.892857142857143,0.889285714285714,0.889285714285714,0.889285714285714,0.889285714285714,0.892857142857143,0.856777493606138,NA,3.700583185169,0.214285714285714
"Epilepsy",2,1,"SFCL",3,0.910714285714286,0.914285714285714,0.911538461538462,0.914285714285714,0.908730158730159,0.910714285714286,0.881053525913339,NA,0.161151149654601,0.115079365079365
"Epilepsy",2,1,"SFCL",5,0.857142857142857,0.857738095238095,0.861201298701299,0.857738095238095,0.855086848635236,0.857142857142857,0.809280544912729,NA,0.267545441397217,0.172857142857143
"Epilepsy",2,1,"SFCL",7,0.875,0.875595238095238,0.878205128205128,0.875595238095238,0.875086848635236,0.875,0.832978270132083,NA,0.330010423830759,0.209912536443149
