"dataset","seed","fold","s","n_sel","p","k_sel","gamma_sel","bal_acc_knn","acc_knn","macro_f1_knn","bal_acc_kfda","acc_kfda","macro_f1_kfda"
"Epilepsy",3,1,1.18659676249382,3,3,1,0.5,0.913095238095238,0.910714285714286,0.908068783068783,0.901785714285714,0.910714285714286,0.904040404040404
"Epilepsy",3,1,1.27983697434448,3,3,1,0.5,0.910119047619048,0.910714285714286,0.909970238095238,0.943452380952381,0.946428571428571,0.944310897435897
"Epilepsy",3,1,1.3804038007459,3,3,3,0.125,0.927976190476191,0.928571428571429,0.928495285767255,0.926785714285714,0.928571428571429,0.926575682382134
"Epilepsy",3,1,1.48887295125201,3,3,3,1,0.910119047619048,0.910714285714286,0.911518199233716,0.944642857142857,0.946428571428571,0.945713859020311
"Epilepsy",3,1,1.60586537343063,3,3,1,2,0.875595238095238,0.875,0.876042771883289,0.882142857142857,0.892857142857143,0.887099284158108
"Epilepsy",3,1,1.73205080756888,3,3,1,0.125,0.913095238095238,0.910714285714286,0.910446650124069,0.944642857142857,0.946428571428571,0.947027602270293
"Epilepsy",3,2,1.02,2,3,1,1,0.820833333333333,0.821428571428571,0.807934742306266,0.84047619047619,0.839285714285714,0.817828341013825
"Epilepsy",3,2,1.10014939791998,3,3,1,0.25,0.876190476190476,0.875,0.863983550746621,0.841666666666667,0.839285714285714,0.82498952660243
"Epilepsy",3,2,1.18659676249382,3,3,1,0.125,0.892857142857143,0.892857142857143,0.880350887911372,0.838690476190476,0.839285714285714,0.829818031430935
"Epilepsy",3,2,1.27983697434448,3,3,1,2,0.875,0.875,0.859959616600983,0.896428571428571,0.892857142857143,0.889981881917366
"Epilepsy",3,2,1.3804038007459,3,3,3,1,0.929761904761905,0.928571428571429,0.925555555555556,0.876785714285714,0.875,0.872252747252747
"Epilepsy",3,2,1.48887295125201,3,3,1,1,0.858333333333333,0.857142857142857,0.841305153874676,0.876785714285714,0.875,0.872252747252747
"Epilepsy",3,2,1.60586537343063,3,3,1,1,0.911904761904762,0.910714285714286,0.905952380952381,0.894642857142857,0.892857142857143,0.889380096276648
"Epilepsy",3,2,1.73205080756888,3,3,1,1,0.895238095238095,0.892857142857143,0.888998357963875,0.911309523809524,0.910714285714286,0.910188834154351
"Epilepsy",3,3,1.02,2,3,1,1,0.826190476190476,0.821428571428571,0.815737292644001,0.769642857142857,0.767857142857143,0.757754314650866
"Epilepsy",3,3,1.10014939791998,3,3,1,0.5,0.877380952380952,0.875,0.870999396135266,0.804166666666667,0.803571428571429,0.799137931034483
"Epilepsy",3,3,1.18659676249382,3,3,1,1,0.913095238095238,0.910714285714286,0.910446650124069,0.842857142857143,0.839285714285714,0.831619136668225
"Epilepsy",3,3,1.27983697434448,3,3,1,8,0.930952380952381,0.928571428571429,0.928205128205128,0.879761904761905,0.875,0.872836989772474
"Epilepsy",3,3,1.3804038007459,3,3,1,8,0.913095238095238,0.910714285714286,0.908888888888889,0.878571428571429,0.875,0.871908958672029
"Epilepsy",3,3,1.48887295125201,3,3,3,1,0.930952380952381,0.928571428571429,0.927129384025936,0.845238095238095,0.839285714285714,0.840092346988899
"Epilepsy",3,3,1.60586537343063,3,3,1,1,0.911904761904762,0.910714285714286,0.906362007168459,0.829761904761905,0.821428571428571,0.822591680350301
"Epilepsy",3,3,1.73205080756888,3,3,1,1,0.929761904761905,0.928571428571429,0.925555555555556,0.813095238095238,0.803571428571429,0.807048984468339
"Epilepsy",3,4,1.02,2,3,1,1,0.851282051282051,0.851851851851852,0.841573971078977,0.813782051282051,0.814814814814815,0.806342999891387
"Epilepsy",3,4,1.10014939791998,3,3,1,1,0.834615384615385,0.833333333333333,0.825444938820912,0.887179487179487,0.888888888888889,0.879846855653307
"Epilepsy",3,4,1.18659676249382,3,3,1,1,0.870512820512821,0.87037037037037,0.864439324116744,0.906410256410256,0.907407407407407,0.902227856295177
"Epilepsy",3,4,1.27983697434448,3,3,1,1,0.887179487179487,0.888888888888889,0.881448412698413,0.906410256410256,0.907407407407407,0.902227856295177
"Epilepsy",3,4,1.3804038007459,3,3,1,1,0.887179487179487,0.888888888888889,0.881448412698413,0.924038461538462,0.925925925925926,0.92497311827957
"Epilepsy",3,4,1.48887295125201,3,3,3,0.5,0.870512820512821,0.87037037037037,0.862770562770563,0.868910256410256,0.87037037037037,0.866868054806344
"Epilepsy",3,4,1.60586537343063,3,3,1,0.5,0.923076923076923,0.925925925925926,0.921818181818182,0.888141025641026,0.888888888888889,0.886538461538461
"Epilepsy",3,4,1.73205080756888,3,3,1,0.5,0.942307692307692,0.944444444444444,0.941766304347826,0.907371794871795,0.907407407407407,0.906666666666667
"Epilepsy",3,5,1.02,2,3,1,0.25,0.870879120879121,0.867924528301887,0.867509087336674,0.810210622710623,0.811320754716981,0.803962703962704
"Epilepsy",3,5,1.10014939791998,2,3,1,0.125,0.86790293040293,0.867924528301887,0.866300366300366,0.81456043956044,0.811320754716981,0.803563218390805
"Epilepsy",3,5,1.18659676249382,3,3,1,1,0.961538461538462,0.962264150943396,0.960545977011494,0.847298534798535,0.849056603773585,0.84234805674086
"Epilepsy",3,5,1.27983697434448,3,3,1,0.25,0.942307692307692,0.943396226415094,0.939539845461884,0.90224358974359,0.905660377358491,0.900351906158358
"Epilepsy",3,5,1.3804038007459,3,3,1,0.125,0.942307692307692,0.943396226415094,0.939539845461884,0.90224358974359,0.905660377358491,0.900351906158358
"Epilepsy",3,5,1.48887295125201,3,3,1,0.25,0.942307692307692,0.943396226415094,0.939539845461884,0.942307692307692,0.943396226415094,0.940724637681159
"Epilepsy",3,5,1.60586537343063,3,3,3,0.125,0.942307692307692,0.943396226415094,0.939539845461884,0.942307692307692,0.943396226415094,0.940724637681159
"Epilepsy",3,5,1.73205080756888,3,3,3,0.5,0.921474358974359,0.924528301886792,0.922364422627396,0.943681318681319,0.943396226415094,0.944137931034483
"Epilepsy",4,1,1.02,2,3,1,0.125,0.7875,0.785714285714286,0.777529761904762,0.805952380952381,0.803571428571429,0.781450939175897
"Epilepsy",4,1,1.10014939791998,3,3,1,0.125,0.838690476190476,0.839285714285714,0.83047092525166,0.858333333333333,0.857142857142857,0.844771241830065
"Epilepsy",4,1,1.18659676249382,3,3,1,0.125,0.911904761904762,0.910714285714286,0.905665024630542,0.876190476190476,0.875,0.866161616161616
"Epilepsy",4,1,1.27983697434448,3,3,1,0.5,0.910714285714286,0.910714285714286,0.901873372069726,0.894047619047619,0.892857142857143,0.89153452685422
"Epilepsy",4,1,1.3804038007459,3,3,1,0.5,0.910714285714286,0.910714285714286,0.903694131955001,0.911904761904762,0.910714285714286,0.910454545454545
"Epilepsy",4,1,1.48887295125201,3,3,1,0.5,0.894047619047619,0.892857142857143,0.886624396135266,0.929761904761905,0.928571428571429,0.92875
"Epilepsy",4,1,1.60586537343063,3,3,1,0.25,0.911904761904762,0.910714285714286,0.907852564102564,0.892261904761905,0.892857142857143,0.891667771883289
"Epilepsy",4,1,1.73205080756888,3,3,1,0.25,0.911904761904762,0.910714285714286,0.907852564102564,0.911309523809524,0.910714285714286,0.910092165898618
"Epilepsy",4,2,1.02,2,3,1,1,0.84047619047619,0.839285714285714,0.819354838709677,0.896428571428571,0.892857142857143,0.891369486197072
"Epilepsy",4,2,1.10014939791998,2,3,1,0.25,0.84047619047619,0.839285714285714,0.819354838709677,0.878571428571429,0.875,0.87400039296591
