"dataset","seed","fold","n_var","k_sel","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"Epilepsy",10,2,1,1,0.821428571428571,0.817857142857143,0.823015873015873,0.817857142857143,0.812474881440399,0.821428571428571,0.761499148211244,NA,6.16763864194834,0.357142857142857
"Epilepsy",10,2,2,1,0.821428571428571,0.820833333333333,0.831594611528822,0.820833333333333,0.807520779123213,0.821428571428571,0.761600681140911,NA,6.16763864194834,0.357142857142857
"Epilepsy",10,2,3,1,0.946428571428571,0.946428571428571,0.95,0.946428571428571,0.942222222222222,0.946428571428571,0.928571428571428,NA,1.8502915925845,0.107142857142857
"Epilepsy",10,3,1,1,0.803571428571429,0.810714285714286,0.825202429149798,0.810714285714286,0.80099912601303,0.803571428571429,0.739314430808295,NA,6.78440250614317,0.392857142857143
"Epilepsy",10,3,2,1,0.875,0.879761904761905,0.884803921568627,0.879761904761905,0.872138716966303,0.875,0.833827893175074,NA,4.31734704936384,0.25
"Epilepsy",10,3,3,1,0.875,0.878571428571429,0.872619047619048,0.878571428571429,0.871426466254053,0.875,0.833404164895878,NA,4.31734704936384,0.25
"Epilepsy",10,4,1,1,0.888888888888889,0.88974358974359,0.908613445378151,0.88974358974359,0.885579937304075,0.888888888888889,0.851987208771128,NA,3.83764182165674,0.222222222222222
"Epilepsy",10,4,2,1,0.87037037037037,0.866758241758242,0.872767857142857,0.866758241758242,0.855030721966206,0.87037037037037,0.826923076923077,NA,4.47724879193287,0.259259259259259
"Epilepsy",10,4,3,1,0.925925925925926,0.925641025641026,0.933333333333333,0.925641025641026,0.922946859903382,0.925925925925926,0.901144164759725,NA,2.5584278811045,0.148148148148148
"Epilepsy",10,5,1,1,0.754716981132076,0.756868131868132,0.754595588235294,0.756868131868132,0.740046734874321,0.754716981132076,0.6733048838312,NA,8.4717753421479,0.490566037735849
"Epilepsy",10,5,2,3,0.773584905660377,0.77014652014652,0.787955182072829,0.77014652014652,0.76110635749123,0.773584905660377,0.697431018078021,NA,3.46245482687621,0.335429769392034
"Epilepsy",10,5,3,1,0.905660377358491,0.903617216117216,0.907561188811189,0.903617216117216,0.902407407407407,0.905660377358491,0.874049429657795,NA,3.25837513159535,0.188679245283019
"Epilepsy",11,1,1,3,0.821428571428571,0.825,0.827777777777778,0.825,0.810219890054973,0.821428571428571,0.762611275964392,NA,3.28117271242414,0.281746031746032
"Epilepsy",11,1,2,1,0.892857142857143,0.895238095238095,0.896915584415584,0.895238095238095,0.888423645320197,0.892857142857143,0.857324840764331,NA,3.700583185169,0.214285714285714
"Epilepsy",11,1,3,1,0.910714285714286,0.911904761904762,0.91875,0.911904761904762,0.906362007168459,0.910714285714286,0.880901743938749,NA,3.08381932097417,0.178571428571429
"Epilepsy",11,2,1,1,0.839285714285714,0.8375,0.871428571428571,0.8375,0.828205128205128,0.839285714285714,0.785074626865672,NA,5.5508747777535,0.321428571428571
"Epilepsy",11,2,2,1,0.875,0.876785714285714,0.879166666666667,0.876785714285714,0.877442528735632,0.875,0.832978270132083,NA,4.31734704936384,0.25
"Epilepsy",11,2,3,1,0.910714285714286,0.914285714285714,0.910714285714286,0.914285714285714,0.910572186434255,0.910714285714286,0.880952380952381,NA,3.08381932097417,0.178571428571429
"Epilepsy",11,3,1,1,0.857142857142857,0.860714285714286,0.875131302521008,0.860714285714286,0.851380761232287,0.857142857142857,0.809847198641766,NA,4.93411091355867,0.285714285714286
"Epilepsy",11,3,2,1,0.928571428571429,0.930952380952381,0.932142857142857,0.930952380952381,0.927129384025936,0.928571428571429,0.904802379940501,NA,2.46705545677933,0.142857142857143
"Epilepsy",11,3,3,1,0.946428571428571,0.947619047619048,0.947619047619048,0.947619047619048,0.944871794871795,0.946428571428571,0.928510638297872,NA,1.8502915925845,0.107142857142857
"Epilepsy",11,4,1,1,0.87037037037037,0.869093406593407,0.872069597069597,0.869093406593407,0.867948717948718,0.87037037037037,0.82708142726441,NA,4.47724879193287,0.259259259259259
"Epilepsy",11,4,2,1,0.814814814814815,0.813003663003663,0.803685897435897,0.813003663003663,0.798678024484476,0.814814814814815,0.752860411899313,NA,6.39606970276124,0.37037037037037
"Epilepsy",11,4,3,1,0.87037037037037,0.870512820512821,0.880835667600373,0.870512820512821,0.862852664576803,0.87037037037037,0.827318410232983,NA,4.47724879193287,0.259259259259259
"Epilepsy",11,5,1,1,0.754716981132076,0.758241758241758,0.775,0.758241758241758,0.744174806674807,0.754716981132076,0.674231678486998,NA,8.4717753421479,0.490566037735849
"Epilepsy",11,5,2,3,0.754716981132076,0.753891941391941,0.743055555555556,0.753891941391941,0.738270063270063,0.754716981132076,0.67314990512334,NA,3.50835653722808,0.364779874213837
"Epilepsy",11,5,3,1,0.905660377358491,0.903617216117216,0.907034632034632,0.903617216117216,0.901991845957363,0.905660377358491,0.874169040835708,NA,3.25837513159535,0.188679245283019
"Epilepsy",12,1,1,1,0.910714285714286,0.913095238095238,0.912202380952381,0.913095238095238,0.909493454265423,0.910714285714286,0.880851063829787,NA,3.08381932097417,0.178571428571429
"Epilepsy",12,1,2,1,0.964285714285714,0.96547619047619,0.962912087912088,0.96547619047619,0.963522167487685,0.964285714285714,0.952320136228182,NA,1.23352772838967,0.0714285714285714
"Epilepsy",12,1,3,1,0.946428571428571,0.947619047619048,0.95,0.947619047619048,0.944370763336281,0.946428571428571,0.928601784955376,NA,1.8502915925845,0.107142857142857
"Epilepsy",12,2,1,1,0.803571428571429,0.802976190476191,0.818671679197995,0.802976190476191,0.787737317149082,0.803571428571429,0.737649063032368,NA,6.78440250614317,0.392857142857143
"Epilepsy",12,2,2,1,0.892857142857143,0.896428571428571,0.891483516483516,0.896428571428571,0.893325123152709,0.892857142857143,0.856960408684547,NA,3.700583185169,0.214285714285714
"Epilepsy",12,2,3,1,0.892857142857143,0.895238095238095,0.893939393939394,0.895238095238095,0.888888888888889,0.892857142857143,0.857142857142857,NA,3.700583185169,0.214285714285714
