"base","seed","fold","n_noise","distance","p","n_sel","k_sel","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"Setting1",3,1,2,"MFCL",4,2,11,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.279091327051574,0.153351698806244
"Setting1",3,2,2,"SFCL",4,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",3,2,2,"MFCL",4,2,11,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.383796741767537,0.246097337006428
"Setting1",3,3,2,"SFCL",4,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",3,3,2,"MFCL",4,2,9,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.833333333333333,NA,0.243743383380448,0.1440329218107
"Setting1",3,4,2,"SFCL",4,2,3,1,1,1,1,1,1,1,NA,0,0
"Setting1",3,4,2,"MFCL",4,2,5,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,2.02875224271317,0.173333333333333
"Setting1",3,5,2,"SFCL",4,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",3,5,2,"MFCL",4,2,9,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.282694236169843,0.168724279835391
"Setting1",3,1,4,"SFCL",6,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",3,1,4,"MFCL",6,2,3,0.888888888888889,0.888888888888889,0.916666666666667,0.888888888888889,0.885714285714286,0.888888888888889,0.833333333333333,NA,0.234697228770947,0.160493827160494
"Setting1",3,2,4,"SFCL",6,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",3,2,4,"MFCL",6,2,3,0.833333333333333,0.833333333333333,0.838095238095238,0.833333333333333,0.832167832167832,0.833333333333333,0.75,NA,2.198569818278,0.296296296296296
"Setting1",3,3,4,"SFCL",6,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",3,3,4,"MFCL",6,2,9,1,1,1,1,1,1,1,NA,0.260611072922122,0.160493827160494
"Setting1",3,4,4,"SFCL",6,2,3,1,1,1,1,1,1,1,NA,0,0
"Setting1",3,4,4,"MFCL",6,2,3,0.833333333333333,0.833333333333333,0.838095238095238,0.833333333333333,0.832167832167832,0.833333333333333,0.75,NA,0.250679566129379,0.185185185185185
"Setting1",3,5,4,"SFCL",6,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",3,5,4,"MFCL",6,2,1,0.777777777777778,0.777777777777778,0.777777777777778,0.777777777777778,0.777777777777778,0.777777777777778,0.666666666666667,NA,7.67528364331349,0.444444444444444
"Setting1",3,1,8,"SFCL",10,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",3,1,8,"MFCL",10,2,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.652380952380952,0.666666666666667,0.5,NA,11.5129254649702,0.666666666666667
"Setting1",3,2,8,"SFCL",10,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",3,2,8,"MFCL",10,2,7,0.833333333333333,0.833333333333333,0.838095238095238,0.833333333333333,0.832167832167832,0.833333333333333,0.75,NA,0.417806011675401,0.272108843537415
"Setting1",3,3,8,"SFCL",10,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",3,3,8,"MFCL",10,2,9,0.833333333333333,0.833333333333333,0.838095238095238,0.833333333333333,0.832167832167832,0.833333333333333,0.75,NA,0.354979600213154,0.230452674897119
"Setting1",3,4,8,"SFCL",10,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",3,4,8,"MFCL",10,2,11,0.833333333333333,0.833333333333333,0.838095238095238,0.833333333333333,0.832167832167832,0.833333333333333,0.75,NA,0.360609574400259,0.220385674931129
"Setting1",3,5,8,"SFCL",10,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",3,5,8,"MFCL",10,2,5,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.833333333333333,NA,0.325258218485481,0.208888888888889
"Setting1",3,1,16,"SFCL",18,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",3,1,16,"MFCL",18,2,7,0.777777777777778,0.777777777777778,0.791666666666667,0.777777777777778,0.771428571428571,0.777777777777778,0.666666666666667,NA,0.399815949504976,0.26530612244898
"Setting1",3,2,16,"SFCL",18,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",3,2,16,"MFCL",18,2,5,0.722222222222222,0.722222222222222,0.740740740740741,0.722222222222222,0.703703703703704,0.722222222222222,0.583333333333333,NA,0.469852089899058,0.337777777777778
"Setting1",3,3,16,"SFCL",18,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",3,3,16,"MFCL",18,2,7,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.833333333333333,NA,0.427320242104857,0.272108843537415
"Setting1",3,4,16,"SFCL",18,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",3,4,16,"MFCL",18,2,5,0.833333333333333,0.833333333333333,0.888888888888889,0.833333333333333,0.822222222222222,0.833333333333333,0.75,NA,0.398689098484499,0.262222222222222
"Setting1",3,5,16,"SFCL",18,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",3,5,16,"MFCL",18,2,5,1,1,1,1,1,1,1,NA,0.2446563916934,0.133333333333333
