"dataset","seed","fold","distance","k","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"japanese_vowels",2,2,"MFCL",3,0.968992248062015,0.965990028490028,0.971517094017094,0.965990028490028,0.967695518766947,0.968992248062015,0.964787771256995,NA,0.58709219811122,0.0585701981050818
"japanese_vowels",2,2,"MFCL",5,0.984496124031008,0.984508547008547,0.988611111111111,0.984508547008547,0.986343537414966,0.984496124031008,0.982395087001024,NA,0.068556349981227,0.035968992248062
"japanese_vowels",2,2,"MFCL",7,0.961240310077519,0.956730769230769,0.9639651416122,0.956730769230769,0.958995784523735,0.961240310077519,0.955978705978706,NA,0.0959276123157187,0.0515741180193007
"japanese_vowels",2,2,"MFCL",9,0.953488372093023,0.94747150997151,0.959230769230769,0.94747150997151,0.950578670710202,0.953488372093023,0.947156414282788,NA,0.113504235485218,0.0599100392382046
"japanese_vowels",2,2,"MFCL",11,0.945736434108527,0.938212250712251,0.958518518518519,0.938212250712251,0.942885405369877,0.945736434108527,0.938319672131148,NA,0.127855109036346,0.0667563585111154
"japanese_vowels",2,3,"SFCL",1,0.984496124031008,0.986111111111111,0.987654320987654,0.986111111111111,0.986269068219332,0.984496124031008,0.98241308793456,NA,0.535484905347452,0.0310077519379845
"japanese_vowels",2,3,"SFCL",3,0.968992248062015,0.967592592592593,0.967408626232156,0.967592592592593,0.966669396872593,0.968992248062015,0.964830970556161,NA,0.571376496246563,0.0516795865633075
"japanese_vowels",2,3,"SFCL",5,0.968992248062015,0.968915343915344,0.970036091359621,0.968915343915344,0.9682027385665,0.968992248062015,0.964828573376048,NA,0.328246425015923,0.0483720930232558
"japanese_vowels",2,3,"SFCL",7,0.968992248062015,0.967592592592593,0.971781305114638,0.967592592592593,0.966679961673704,0.968992248062015,0.964826175869121,NA,0.0894492518493692,0.05062490112324
"japanese_vowels",2,3,"SFCL",9,0.961240310077519,0.959045584045584,0.966501724396461,0.959045584045584,0.959518801895911,0.961240310077519,0.956017729287419,NA,0.104518345598428,0.058187386352761
