"dataset","method","family","needs_grid","seed","fold","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier","k_sel","gamma_sel","s_sel","n_sel","lambda","seconds","ok","error"
"japanese_vowels","SFKmL-C + kFDA","proposed",FALSE,15,1,0.938461538461538,0.940496540496541,0.941239316239316,0.940496540496541,0.93767667283156,0.938461538461538,0.930290233929888,NA,1.59961982656037,0.713997790451166,NA,1,2.772334981081,11,0.357142857142857,1.08440685272217,TRUE,""
"japanese_vowels","SFKmL-C(gap) + medoid","proposed",FALSE,15,2,0.682170542635659,0.68518796018796,0.69063863362109,0.68518796018796,0.674087866724229,0.682170542635659,0.640619691513216,NA,1.74796699745087,0.77429445042561,NA,NA,1.23904187263513,2,1.42857142857143,3.8918719291687,TRUE,""
"japanese_vowels","SFKmL-C(gaplab) + medoid","proposed",FALSE,15,2,0.472868217054264,0.472785547785548,0.519906261210609,0.472785547785548,0.472834149032569,0.472868217054264,0.401800327332242,NA,1.75999929219612,0.782133726074608,NA,NA,1.02,2,1.42857142857143,0.322796106338501,TRUE,""
"japanese_vowels","1NN-DTW","distance",FALSE,15,2,0.976744186046512,0.974786324786325,0.982905982905983,0.974786324786325,0.97834621150963,0.976744186046512,0.973574598839194,NA,0.803227358021179,0.0465116279069767,1,NA,NA,12,1.42857142857143,0.00405192375183105,TRUE,""
"japanese_vowels","1NN-DDTW","distance",FALSE,15,2,0.65891472868217,0.641089466089466,0.660090148799826,0.641089466089466,0.603006517545016,0.65891472868217,0.609977324263039,NA,2.05022393971671,0.854013151461254,1,NA,NA,NA,1.42857142857143,0.0886549949645996,TRUE,""
"japanese_vowels","NC-DBA","distance",FALSE,15,2,0.968992248062015,0.964997964997965,0.976370035193565,0.964997964997965,0.969522601213422,0.968992248062015,0.964756505703162,NA,1.71846009830551,0.757955125293162,NA,NA,NA,NA,1.42857142857143,0.387018918991089,TRUE,""
"japanese_vowels","DistSpace-Frechet","depth",FALSE,15,2,0.930232558139535,0.923331298331298,0.948030137981118,0.923331298331298,0.925515890503124,0.930232558139535,0.920685886050007,NA,0.657180019546667,0.102831830406581,7,NA,NA,11,1.42857142857143,0.598206043243408,TRUE,""
"japanese_vowels","SFKmL-C(dense) + medoid","proposed",FALSE,15,2,0.930232558139535,0.924470899470899,0.934673721340388,0.924470899470899,0.926219499476288,0.930232558139535,0.920750853242321,NA,1.85054648215066,0.799430071884284,NA,1,3.46410161513775,12,1.42857142857143,0.0472691059112549,TRUE,""
"japanese_vowels","MFKmL-C + medoid","proposed",FALSE,15,2,0.868217054263566,0.851673789173789,0.899544385655497,0.851673789173789,0.858137267046048,0.868217054263566,0.849804807889871,NA,1.84964193287287,0.798744592507294,NA,1,3.46410161513775,12,1.42857142857143,0.00150299072265625,TRUE,""
"japanese_vowels","DTW + medoid","distance",FALSE,15,2,0.906976744186046,0.892877492877493,0.923736762665982,0.892877492877493,0.902721138681932,0.906976744186046,0.893972602739726,NA,1.77037823477514,0.775077271407994,NA,1,3.46410161513775,12,1.42857142857143,0.00126981735229492,TRUE,""
