"dataset","seed","fold","s","n_sel","p","k_sel","gamma_sel","bal_acc_knn","acc_knn","macro_f1_knn","bal_acc_kfda","acc_kfda","macro_f1_kfda"
"japanese_vowels",2,4,1.21466341371801,3,12,5,0.125,0.75385622831275,0.7734375,0.751927943232291,0.827891814304858,0.84375,0.827636973811198
"japanese_vowels",2,4,1.44647765551479,4,12,3,0.25,0.841570004070004,0.859375,0.838893001791552,0.853276252732774,0.8671875,0.859086465749278
"japanese_vowels",2,4,1.72253283030825,5,12,9,0.25,0.91015466015466,0.921875,0.911631883893065,0.871313770770292,0.8828125,0.877191843915043
"japanese_vowels",2,4,2.05127216461134,6,12,11,0.5,0.928673178673179,0.9375,0.936237522205148,0.877747252747253,0.890625,0.888630165280124
"japanese_vowels",2,4,2.44275024503092,8,12,1,4,0.910866910866911,0.921875,0.915684460248393,0.938924501424501,0.9453125,0.943920727917028
"japanese_vowels",2,4,2.90894054067624,11,12,1,4,0.936609686609687,0.9453125,0.93875392991335,0.958844295800818,0.9609375,0.957464988044698
"japanese_vowels",2,4,3.46410161513775,12,12,1,4,0.945156695156695,0.953125,0.946390614216701,0.943963343419865,0.9453125,0.946000444357932
"japanese_vowels",2,5,1.02,2,12,11,0.25,0.48316186631404,0.516129032258065,0.470380486675689,0.664573811856421,0.67741935483871,0.665647609095885
"japanese_vowels",2,5,1.21466341371801,2,12,9,0.125,0.674491571230702,0.685483870967742,0.656026373321059,0.670472442211573,0.67741935483871,0.670803187027354
"japanese_vowels",2,5,1.44647765551479,4,12,9,2,0.796034681904247,0.806451612903226,0.784817899079396,0.852353564310086,0.862903225806452,0.852059146793446
"japanese_vowels",2,5,1.72253283030825,5,12,3,0.25,0.838413699826743,0.846774193548387,0.831514152002744,0.904401053857576,0.911290322580645,0.903676099143259
"japanese_vowels",2,5,2.05127216461134,6,12,3,0.5,0.863164412077456,0.870967741935484,0.858442417446739,0.940244839701361,0.943548387096774,0.937615255223118
"japanese_vowels",2,5,2.44275024503092,8,12,9,0.125,0.930143829600351,0.935483870967742,0.928295163550085,0.976851851851852,0.975806451612903,0.975157134694302
"japanese_vowels",2,5,2.90894054067624,11,12,5,8,0.947189284145806,0.951612903225806,0.947657237881734,0.95734126984127,0.959677419354839,0.956577414355192
"japanese_vowels",2,5,3.46410161513775,12,12,1,4,0.955176767676768,0.959677419354839,0.957122660976616,0.959556546513068,0.959677419354839,0.962937510271678
"japanese_vowels",3,1,1.02,2,12,5,0.25,0.510292947792948,0.515384615384615,0.501795865633075,0.629983442483443,0.653846153846154,0.621455299934563
"japanese_vowels",3,1,1.21466341371801,2,12,11,2,0.680344655344655,0.7,0.665962140164892,0.624557387057387,0.646153846153846,0.621824502210976
"japanese_vowels",3,1,1.44647765551479,3,12,9,2,0.744246031746032,0.761538461538461,0.716343170434059,0.733384208384208,0.753846153846154,0.726022930168119
"japanese_vowels",3,1,1.72253283030825,5,12,7,0.125,0.822975172975173,0.838461538461538,0.804324564324564,0.872013634513635,0.876923076923077,0.875248432782166
"japanese_vowels",3,1,2.05127216461134,6,12,7,4,0.8500407000407,0.861538461538462,0.841214580626345,0.949506512006512,0.946153846153846,0.948737956176442
"japanese_vowels",3,1,2.44275024503092,8,12,7,4,0.917348392348392,0.923076923076923,0.917842910969646,0.964535002035002,0.961538461538462,0.962062176287945
"japanese_vowels",3,1,2.90894054067624,11,12,5,8,0.92546805046805,0.930769230769231,0.924224237196694,0.961792836792837,0.961538461538462,0.962264520406059
"japanese_vowels",3,1,3.46410161513775,12,12,1,2,0.961080586080586,0.961538461538462,0.960051093972684,0.960368335368335,0.953846153846154,0.9578761745818
"japanese_vowels",3,2,1.02,2,12,9,0.125,0.566280478780479,0.573643410852713,0.555877045877046,0.706354293854294,0.720930232558139,0.702347908372347
"japanese_vowels",3,2,1.21466341371801,2,12,7,0.25,0.732677045177045,0.736434108527132,0.727908723161561,0.74722730972731,0.751937984496124,0.745765889666645
"japanese_vowels",3,2,1.44647765551479,4,12,9,0.125,0.768605006105006,0.75968992248062,0.766356402588287,0.838395400895401,0.852713178294574,0.841502172137093
"japanese_vowels",3,2,1.72253283030825,5,12,9,2,0.901042938542939,0.906976744186046,0.900506756024315,0.912433862433862,0.914728682170543,0.908293876439768
"japanese_vowels",3,2,2.05127216461134,6,12,11,4,0.924191086691087,0.930232558139535,0.924680407028133,0.925793650793651,0.922480620155039,0.921686111693502
"japanese_vowels",3,2,2.44275024503092,8,12,5,2,0.966137566137566,0.968992248062015,0.965424941850063,0.959045584045584,0.961240310077519,0.960874046588332
"japanese_vowels",3,2,2.90894054067624,11,12,5,4,0.953240740740741,0.953488372093023,0.949717470198444,0.958582621082621,0.961240310077519,0.959919527197852
"japanese_vowels",3,2,3.46410161513775,12,12,1,0.25,0.955555555555556,0.953488372093023,0.952087456634791,0.960897435897436,0.961240310077519,0.964402856389804
"japanese_vowels",3,3,1.02,2,12,5,0.125,0.565301365301365,0.573643410852713,0.54818893408488,0.68036223036223,0.682170542635659,0.683241392199294
"japanese_vowels",3,3,1.21466341371801,2,12,7,0.25,0.751770451770452,0.751937984496124,0.74663836760611,0.7498371998372,0.751937984496124,0.737201340802172
"japanese_vowels",3,3,1.44647765551479,4,12,7,0.125,0.881069393569394,0.883720930232558,0.883339768122377,0.891783679283679,0.891472868217054,0.889819844767371
"japanese_vowels",3,3,1.72253283030825,4,12,7,1,0.896413308913309,0.89922480620155,0.900986719623284,0.899720187220187,0.906976744186046,0.900696947666845
"japanese_vowels",3,3,2.05127216461134,6,12,3,0.125,0.931878306878307,0.930232558139535,0.933438944308509,0.909589947089947,0.914728682170543,0.908529205966702
"japanese_vowels",3,3,2.44275024503092,8,12,5,2,0.934193121693122,0.937984496124031,0.935127764400628,0.966600529100529,0.968992248062015,0.966600529100529
"japanese_vowels",3,3,2.90894054067624,11,12,1,0.125,0.95734126984127,0.961240310077519,0.9611850351813,0.929563492063492,0.937984496124031,0.930460306728055
"japanese_vowels",3,3,3.46410161513775,12,12,1,8,0.962962962962963,0.968992248062015,0.965343915343915,0.966600529100529,0.968992248062015,0.969426012731741
"japanese_vowels",3,4,1.02,2,12,5,0.25,0.5058387264909,0.5234375,0.484788506569487,0.707714206083771,0.7265625,0.692111684257278
"japanese_vowels",3,4,1.21466341371801,2,12,5,0.125,0.674771947054556,0.6875,0.672401351089578,0.755333253702819,0.765625,0.75127227853972
"japanese_vowels",3,4,1.44647765551479,4,12,7,2,0.844886393799437,0.8515625,0.838180667424869,0.889041514041514,0.8984375,0.891935832333098
"japanese_vowels",3,4,1.72253283030825,5,12,11,0.125,0.888738475694997,0.8984375,0.888037417493939,0.92465404965405,0.9296875,0.924315258284792
"japanese_vowels",3,4,2.05127216461134,6,12,11,0.25,0.930275742775743,0.9375,0.930850605321932,0.951109076109076,0.953125,0.951696362093744
"japanese_vowels",3,4,2.44275024503092,8,12,11,8,0.94747150997151,0.953125,0.94774087024087,0.958053520553521,0.9609375,0.958297844462719
"japanese_vowels",3,4,2.90894054067624,11,12,3,8,0.956730769230769,0.9609375,0.958176938466794,0.956730769230769,0.9609375,0.960795922439281
"japanese_vowels",3,4,3.46410161513775,12,12,1,4,0.967592592592593,0.96875,0.967576489533011,0.988224637681159,0.984375,0.985399626259841
"japanese_vowels",3,5,1.02,2,12,7,0.25,0.558321227886445,0.556451612903226,0.556439232684443,0.742589938242112,0.741935483870968,0.736042450051204
"japanese_vowels",3,5,1.21466341371801,2,12,11,0.5,0.816645713384844,0.814516129032258,0.810508378431394,0.767902588554762,0.766129032258065,0.761049122525731
"japanese_vowels",3,5,1.44647765551479,3,12,9,0.125,0.881821278560409,0.870967741935484,0.874995724440169,0.898628846998412,0.895161290322581,0.898924271655991
