"dataset","method","family","needs_grid","seed","fold","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier","k_sel","gamma_sel","s_sel","n_sel","lambda","seconds","ok","error","lambda_method"
"Setting5_async","SFKmL-C + kNN","proposed",FALSE,2,5,0.777777777777778,0.777777777777778,0.827380952380952,0.777777777777778,0.768009768009768,0.777777777777778,0.666666666666667,NA,2.16950047695775,0.296296296296296,3,1,1.34555653574313,2,8.18116706282203,0.0237429141998291,TRUE,"","cv"
"Setting5_async","SFKmL-C + kFDA","proposed",FALSE,2,5,0.888888888888889,0.888888888888889,0.896825396825397,0.888888888888889,0.888500388500388,0.888888888888889,0.833333333333333,NA,0.687706208061227,0.383848996111204,NA,1,1.34555653574313,2,8.18116706282203,0.0269060134887695,TRUE,"","cv"
"Setting5_async","SFKmL-C + medoid","proposed",FALSE,2,5,0.833333333333333,0.833333333333333,0.888888888888889,0.833333333333333,0.836363636363636,0.833333333333333,0.75,NA,0.832854595731999,0.490390549832613,NA,1,1.34555653574313,2,8.18116706282203,0.0144720077514648,TRUE,"","cv"
"Setting5_async","MFKmL-C + kNN","proposed",FALSE,2,5,0.388888888888889,0.388888888888889,0.53968253968254,0.388888888888889,0.402564102564103,0.388888888888889,0.0833333333333334,NA,2.59673858921757,0.580246913580247,3,1,2.23606797749979,5,8.18116706282203,0.01192307472229,TRUE,"","cv"
"Setting5_async","MFKmL-C + kFDA","proposed",FALSE,2,5,0.5,0.5,0.525,0.5,0.506493506493506,0.5,0.25,NA,1.0619237982258,0.636207851502094,NA,1,2.23606797749979,5,8.18116706282203,0.00288295745849609,TRUE,"","cv"
"Setting5_async","MFKmL-C + medoid","proposed",FALSE,2,5,0.444444444444444,0.444444444444444,0.431481481481481,0.444444444444444,0.426262626262626,0.444444444444444,0.166666666666667,NA,1.08899633139209,0.65900340658302,NA,1,2.23606797749979,5,8.18116706282203,0.000276088714599609,TRUE,"","cv"
"Setting5_async","SFKmL-C + kNN","proposed",FALSE,3,1,0.833333333333333,0.833333333333333,0.849206349206349,0.833333333333333,0.837218337218337,0.833333333333333,0.75,NA,5.75646273248511,0.333333333333333,1,1,1.12851884524771,2,0.0510712130323902,0.0237011909484863,TRUE,"","cv"
"Setting5_async","SFKmL-C + kFDA","proposed",FALSE,3,1,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.833333333333333,NA,0.640556942401751,0.347932994776771,NA,1,1.12851884524771,2,0.0510712130323902,0.0166029930114746,TRUE,"","cv"
"Setting5_async","SFKmL-C + medoid","proposed",FALSE,3,1,0.833333333333333,0.833333333333333,0.838095238095238,0.833333333333333,0.832167832167832,0.833333333333333,0.75,NA,0.802019446021287,0.471803104452055,NA,1,1.12851884524771,2,0.0510712130323902,0.013009786605835,TRUE,"","cv"
"Setting5_async","MFKmL-C + kNN","proposed",FALSE,3,1,0.388888888888889,0.388888888888889,0.388888888888889,0.388888888888889,0.335185185185185,0.388888888888889,0.0833333333333334,NA,1.13874820927402,0.665294924554184,9,1,2.23606797749979,5,0.0510712130323902,0.0207757949829102,TRUE,"","cv"
