"method","HighDim20","HighDim50","Imbalanced","LeadLag","Phase","Phase_nowarp","Setting1","Setting2","Setting2_async","Setting2a","Setting2b","Setting3","Setting4","Setting5","Setting5_async","Setting6","Setting6_async","Shape","Shape_async","Shape_noise","SharedWarp","SyncBreak","Thyroid_like","OVERALL"
"DTW + medoid",0.640260862987553,0.656349028710946,0.560990737755388,0.290709728229383,0.644448181964444,0.628919572201667,0.336463389578699,0.486236882097529,0.548663073042993,0.506643318879098,0.490461947858066,0.528918581370928,0.584093711599066,0.599623144675009,0.658905130352865,0.61706331686874,0.653272030412759,0.434214487829947,0.663157565585452,0.602175007720268,0.483055818000323,0.478622691362704,0.640933873169131,0.553660090532737
"Euclid + centroid",0.617260187812799,0.642791562758402,0.544251529723571,0.342496753756154,0.660582120824341,0.535135323793137,0.428439325712629,0.541972615458238,0.533437886770506,0.558994252765478,0.539180726946862,0.532224117353751,0.635621799207903,0.588937017218316,0.589505073858402,0.589352292428107,0.59571184773391,0.490816586723412,0.580839811065999,0.572204696946002,0.503730530230221,0.503270335186363,0.603200437842583,0.553476384005091
"KmL3d-C (NC-Euclid)",0.617260187812799,0.642791562758402,0.544251529723571,0.342496753756154,0.660582120824341,0.535135323793137,0.428439325712629,0.541972615458238,0.533437886770506,0.558994252765478,0.539180726946862,0.532224117353751,0.635621799207903,0.588937017218316,0.589505073858402,0.589352292428107,0.59571184773391,0.490816586723412,0.580839811065999,0.572204696946002,0.503730530230221,0.503270335186363,0.603200437842583,0.553476384005091
"DD-classifier",0.508024691358025,0.55925925925926,0.449753086419753,0.191666666666667,0.84679012345679,0.42320987654321,0.239753086419753,0.523827160493827,0.507037037037037,0.602345679012346,0.528271604938272,0.470246913580247,0.654814814814815,0.547901234567901,0.534691358024691,0.488641975308642,0.478518518518519,0.47,0.496913580246914,0.472962962962963,1.03166666666667,1.005,0.575679012345679,0.548129361245303
"SFKmL-C(dense) + mean",0.628286537004565,0.650887300188135,0.505276301136881,0.359606066411853,0.629096701181121,0.584482228075319,0.400997540716926,0.408653344646059,0.472712671470659,0.435565444764383,0.407885801430213,0.467232939279251,0.565903269690695,0.537031855823737,0.567794587221857,0.594467057095044,0.610579925276513,0.438647311177256,0.593262113319744,0.573574295525488,0.50578599928432,0.503315668825614,0.620288696012332,0.524405811111216
"SFKmL-C(dense) + medoid",0.628880439790084,0.652074766179427,0.502579814848584,0.36104819485008,0.613820299182226,0.580168097599001,0.394073246219876,0.372739885900442,0.459426799521391,0.39718704292119,0.378308997400804,0.426332849983705,0.506093072249068,0.527507719237471,0.565381784480746,0.587347830286356,0.613656497217699,0.417687623160743,0.598958792348717,0.579967369770281,0.504055060671739,0.509542635929425,0.619874891459842,0.512900596139517
"MFKmL-C + kFDA",0.55230009018598,0.574092091862388,0.407215058373077,0.13856329960682,0.6298125528243,0.556688655338697,0.2778223787039,0.271488670593605,0.474499516108967,0.281944237307585,0.317351167347444,0.314948881628372,0.387665999177957,0.420111209596131,0.661105032049438,0.492492732772819,0.625765566497288,0.288252361093476,0.677592179470968,0.572738276637612,0.310027801530738,0.552404610035793,0.683079414172023,0.455128773170234
"1NN-DTW",0.566666666666667,0.666666666666667,0.327777777777778,0,0.424444444444444,0.127777777777778,0.00555555555555555,0.144444444444444,0.537777777777778,0.194444444444444,0.196666666666666,0.247777777777778,0.418888888888889,0.434444444444444,1.11222222222222,0.426666666666667,1.09222222222222,0.0466666666666666,1.21555555555555,0.306666666666666,0.293333333333333,0.39,1.17444444444444,0.450048309178744
"SFKmL-C + mean",0.422734963057276,0.437761048145301,0.365672231772834,0.108439244279118,0.566945151154545,0.43515617224312,0.353054154316441,0.422988684745147,0.465366164064589,0.428373225408801,0.414728397936174,0.423923924746582,0.507628938358817,0.417614246405218,0.469374003489254,0.419575827720006,0.469357210655844,0.439165838025496,0.490480466033219,0.441417088432066,0.50518234568829,0.505547533540463,0.576509978240391,0.438565079933
"SFKmL-C + medoid",0.38815386072585,0.402133489026705,0.334500395906371,0.104434967973648,0.517206758804742,0.41668697556618,0.352926819031865,0.384013572061548,0.44777396309365,0.387036484686784,0.386294857981903,0.385458788377363,0.46908414471049,0.378927039309205,0.449805627775948,0.382483361827159,0.447723873640699,0.416004226776468,0.478959168593522,0.420406184161155,0.500876397257285,0.511676397017369,0.55839512634272,0.413954890462984
