"method","HighDim20","HighDim50","Imbalanced","LeadLag","Phase","Phase_nowarp","Setting1","Setting2","Setting2_async","Setting2a","Setting2b","Setting3","Setting4","Setting5","Setting5_async","Setting6","Setting6_async","Shape","Shape_async","Shape_noise","SharedWarp","SyncBreak","Thyroid_like","OVERALL"
"SFKmL-C(dense) + kFDA",0.899880230880231,0.932099206349206,0.918219946719947,1,0.813601851851852,0.980920634920635,0.976912698412698,0.979960317460317,0.855375661375661,0.97468253968254,0.953518518518518,0.978269841269841,0.932130952380952,0.906083333333333,0.697565536315536,0.906547619047619,0.662993265993266,0.965333333333333,0.707819384319384,0.866982804232804,0.563986111111111,0.500979256854257,0.564310217560218,0.849485793996664
"SFKmL-C(dense) + mean",0.843433862433862,0.759303511303511,0.922984126984127,0.996190476190476,0.714187331187331,0.966746031746032,0.973301587301587,0.940853174603175,0.869698412698413,0.877478835978836,0.931587301587302,0.950276455026455,0.734976190476191,0.911699735449735,0.825597883597884,0.900787037037037,0.815023208273208,0.905252645502645,0.7954132996633,0.858029822029822,0.484944444444445,0.463661616161616,0.595330687830688,0.827685116413377
"DTW + SVM",0.845545695045695,0.807266474266474,0.869517871017871,1,0.830990139490139,0.999523809523809,0.999047619047619,0.927115079365079,0.818689153439153,0.906738095238095,0.913189874939875,0.937753968253968,0.771083333333333,0.892600529100529,0.50473593998594,0.869871693121693,0.484519943019943,0.975873015873016,0.445041662041662,0.913984126984127,0.814378246753247,0.847974206349206,0.466078384578385,0.819196472207342
"Euclid + SVM",0.838785113035113,0.811197811447811,0.80719030969031,0.985833333333333,0.393292439042439,1,0.987738095238095,0.933957671957672,0.882003367003367,0.910718253968254,0.918687830687831,0.896721620971621,0.602763828763829,0.848718253968254,0.824955026455026,0.853957671957672,0.854537638287638,0.906512626262626,0.836601851851852,0.843835978835979,0.615739357864358,0.50951461038961,0.656567044067044,0.813905640655641
"MFPLS-DA",0.829285714285714,0.79171164021164,0.880380341880342,0.990178571428571,0.404448431198431,1,0.984603174603175,0.951988095238095,0.878943843193843,0.953920634920635,0.930805555555555,0.934944444444444,0.786827320827321,0.879664021164021,0.801786435786436,0.86873544973545,0.836959716209716,0.880300264550265,0.741941317941318,0.771828282828283,0.521613997113997,0.492139069264069,0.600887325637326,0.813647549913854
"1NN-Euclid",0.738332010582011,0.693111333111333,0.698143095466625,0.998571428571429,0.74419252044252,0.994761904761905,0.947035714285714,0.884215608465608,0.82438443963444,0.870785714285714,0.85162037037037,0.841684583934584,0.679080447330447,0.776002164502165,0.730368326118326,0.785131794131794,0.770819504569505,0.948765873015873,0.792983627483627,0.81212493987494,0.801950396825397,0.752527958152958,0.630697691197691,0.807273541178912
"Euclid + kNN",0.74793734968735,0.713104719354719,0.669787784111313,0.998571428571429,0.738950456950457,0.996666666666667,0.943047619047619,0.872921957671958,0.810354016354016,0.865849206349206,0.844956349206349,0.832848605098605,0.660515752765753,0.766239057239057,0.723676869426869,0.777377344877345,0.769772607022607,0.943781746031746,0.821522227772228,0.842689995189995,0.795617063492064,0.755743326118326,0.664620675620676,0.806806644548972
"SFKmL-C(dense) + medoid",0.74901048026048,0.62271373996374,0.879530811780812,0.983095238095238,0.745270803270803,0.898012025012025,0.965,0.956095238095238,0.849601851851852,0.908765873015873,0.950222222222222,0.961261904761905,0.797820827320827,0.896365800865801,0.786299644799645,0.835572751322751,0.700351713101713,0.920978835978836,0.72264886964887,0.785993386243386,0.512542748917749,0.447438131313131,0.575104867354867,0.802160772399903
"MFPCA-LDA",0.820725589225589,0.809325396825397,0.818044122544123,0.984642857142857,0.434727392977393,1,0.9875,0.896767195767196,0.88063961038961,0.862720298220298,0.889946488696489,0.842351851851852,0.574465367965368,0.857781746031746,0.798446368446369,0.834766594516595,0.840797619047619,0.871721620971621,0.805279100529101,0.852472943722944,0.539569444444444,0.499587301587302,0.655803511303511,0.798177496617714
"DTW + kFDA",0.858119167869168,0.809871693121693,0.783251692751693,1,0.734906806156806,1,0.97968253968254,0.960095238095238,0.699937932437932,0.957166666666666,0.915883597883598,0.920784391534392,0.92092328042328,0.815852573352573,0.49237037037037,0.830835377585378,0.4923022995523,0.976753968253968,0.405022486772487,0.795707070707071,0.808611111111111,0.686332251082251,0.400994949494949,0.793278498474151
"DTW + kNN",0.749036056536057,0.699182502682503,0.748748934072463,1,0.834312890812891,0.977269841269841,0.997619047619048,0.931891534391534,0.757337542087542,0.909864478114478,0.906695767195767,0.88802380952381,0.792166666666667,0.819812169312169,0.46865971990972,0.796604136604137,0.483381303881304,0.977380952380952,0.414030478780479,0.886193843193843,0.878611111111111,0.857049603174603,0.443364061864062,0.792053758747173
"1NN-DTW",0.738402116402116,0.688289784289784,0.784507175830705,1,0.810687109187109,0.944992063492063,0.997619047619048,0.938022486772487,0.755963684463684,0.914804954304954,0.913292328042328,0.891805555555556,0.808420033670034,0.805967236467237,0.461078763828764,0.810188672438672,0.467906870906871,0.980039682539682,0.395166287416287,0.862697811447811,0.871982142857143,0.826589285714286,0.414393338143338,0.786209410060433
"MFKmL-C + SVM",0.831377104377104,0.737362433862434,0.805948357198357,0.999285714285714,0.62036322011322,0.798856726606727,0.94406746031746,0.960059523809524,0.723371693121693,0.954798941798942,0.938337301587301,0.948571428571429,0.722477013727014,0.845271765271765,0.472450355200355,0.881835978835979,0.45385582010582,0.98234126984127,0.414822122322122,0.733717754467754,0.837723124098124,0.744784812409812,0.444569874569875,0.773749991152165
"MFKmL-C + kNN",0.699272967772968,0.622367271617272,0.676115384615385,1,0.662445165945166,0.795574175824176,0.978769841269841,0.966484126984127,0.737371933621934,0.957603174603174,0.93572619047619,0.883916666666667,0.838847883597884,0.76227405002405,0.461689411351176,0.732234247234247,0.485875596625597,0.983214285714286,0.47445214970215,0.778490860990861,0.876582431457432,0.802761904761905,0.447486124986125,0.763458949819244
"Euclid + centroid",0.819820947570948,0.814710317460318,0.722797350797351,0.945202380952381,0.430641293891294,0.999523809523809,0.949781746031746,0.733902116402116,0.748464285714286,0.694675324675325,0.731385642135642,0.830740139490139,0.476435545935546,0.740801587301587,0.747302308802309,0.823729557479557,0.831224146224146,0.818984848484849,0.788228234728235,0.807492784992785,0.501746031746032,0.492186688311688,0.630897426647427,0.742638022404327
"KmL3d-C (NC-Euclid)",0.819820947570948,0.814710317460318,0.722797350797351,0.945202380952381,0.430641293891294,0.999523809523809,0.949781746031746,0.733902116402116,0.748464285714286,0.694675324675325,0.731385642135642,0.830740139490139,0.476435545935546,0.740801587301587,0.747302308802309,0.823729557479557,0.831224146224146,0.818984848484849,0.788228234728235,0.807492784992785,0.501746031746032,0.492186688311688,0.630897426647427,0.742638022404327
"MFKmL-C + mean",0.765507936507937,0.695712546712547,0.751274225774226,0.989226190476191,0.548141941391941,0.602517195767196,0.928079365079365,0.867685185185185,0.697829365079365,0.855863756613757,0.856385642135642,0.913587301587302,0.595166315166315,0.820747354497354,0.482065175565176,0.823989417989418,0.47447163022163,0.922757936507936,0.444842981092981,0.651049903799904,0.74816829004329,0.698739357864358,0.445224146224146,0.720827528751442
"MFKmL-C + kFDA",0.573256715506716,0.562050486550487,0.734814694564695,0.954857142857143,0.472612535612536,0.591924843674844,0.939599206349206,0.973051587301587,0.709259980759981,0.962662698412698,0.935820105820106,0.946281746031746,0.862419312169312,0.788031746031746,0.427871933621934,0.685018278018278,0.484329605579606,0.972738095238095,0.392858104858105,0.565409451659452,0.81296626984127,0.565505952380952,0.386195767195767,0.708675489566794
"Subspace",0.684673243423243,0.604670496170496,0.410325396825397,0.992142857142857,0.747316257816258,0.981071428571428,0.925630351130351,0.577278406778407,0.547547794797795,0.585683483183483,0.542982452732453,0.73837506012506,0.642922346172346,0.583120037370037,0.572941567691568,0.680495791245791,0.639153864653865,0.869294973544974,0.565082158582158,0.627927433677434,0.940154761904762,0.76193253968254,0.45892784992785,0.681723937093502
"DTW + medoid",0.651941142191142,0.578836469086469,0.667055444555445,1,0.580848124098124,0.822726430976431,0.977103174603175,0.779888287638288,0.69540429015429,0.728226430976431,0.776903559403559,0.751319846819847,0.60160076960077,0.687802151552152,0.399809015059015,0.681071548821549,0.413002257002257,0.906511904761905,0.3787187997188,0.77823581048581,0.618408008658009,0.631818903318903,0.429381294631295,0.675504941917985
"DD-classifier",0.669380230880231,0.622673520923521,0.634207945921181,0.914738095238095,0.383788813038813,0.841087421837422,0.979246031746032,0.683140692640693,0.69891748991749,0.589517556517556,0.678493386243386,0.718130230880231,0.512420153920154,0.66543746993747,0.671638148888149,0.70232190957191,0.708160774410774,0.72957215007215,0.695888047138047,0.727757816257816,0.484946428571429,0.498085317460317,0.588366402116402,0.669474610179533
"1NN-DDTW",0.515386830761831,0.439589558589559,0.501763911741853,0.9675,0.573672679172679,0.786662818662819,0.900547017797018,0.877297619047619,0.591511525511526,0.880364478114478,0.828685906685907,0.795834054834055,0.582985329485329,0.575646464646465,0.421619288119288,0.603906066156066,0.384970538720539,0.989563492063492,0.382316766566767,0.603367604617605,0.862872113997114,0.706206349206349,0.374270081770082,0.658545238968193
"Euclid + medoid",0.668130018130018,0.578618224368224,0.599306004453063,0.940833333333334,0.413837061087061,0.95575,0.843794492544493,0.639535298035298,0.693209595959596,0.593821835571836,0.638883042883043,0.6850851000851,0.441623487623488,0.616862591112591,0.614691003441003,0.653434944684945,0.656485209235209,0.783152116402116,0.722556822806823,0.715461159211159,0.496659632034632,0.467423520923521,0.551792355792356,0.650910732596474
"MaxDepth-MBD",0.65741826583003,0.622905422192187,0.505763306954483,0.914529761904762,0.375935692847458,0.846019841269841,0.953396825396825,0.645746706996707,0.657276852776853,0.557506409168174,0.632843924593925,0.703238361311891,0.504200604950605,0.623591704591705,0.641869611869612,0.689768917629212,0.678411692610222,0.733393458393458,0.726002765752766,0.736842592592593,0.487609487734488,0.485152777777778,0.58452787952788,0.65060664629015
"MFKmL-C + medoid",0.595289969289969,0.526010508010508,0.644605926480926,0.9825,0.48132141007141,0.575890091390091,0.924301587301587,0.780420634920635,0.650241388241388,0.796454184704185,0.764111832611833,0.705729918229918,0.526377835127835,0.658236975986976,0.418956201206201,0.64913554963555,0.403063908313908,0.913301587301587,0.41674864024864,0.615275132275132,0.695942821067821,0.604393939393939,0.39654797979798,0.640211218330784
"DTW + DBA",0.569123765123765,0.486418469330234,0.562513395917808,1,0.440042772042772,0.719457671957672,0.902864478114478,0.669885466385466,0.521509379509379,0.519721054816643,0.676915834165834,0.754348568098568,0.584461621711622,0.597999878661643,0.382379722129722,0.65095806970807,0.468914622414622,0.794876863876864,0.401347791097791,0.579544844044844,0.836169733044733,0.8632113997114,0.424951058201058,0.626418106959347
"NC-DBA",0.569123765123765,0.486418469330234,0.562513395917808,1,0.440042772042772,0.719457671957672,0.902864478114478,0.669885466385466,0.521509379509379,0.519721054816643,0.676915834165834,0.754348568098568,0.584461621711622,0.597999878661643,0.382379722129722,0.65095806970807,0.468914622414622,0.794876863876864,0.401347791097791,0.579544844044844,0.836169733044733,0.8632113997114,0.424951058201058,0.626418106959347
"MaxDepth-MBD (w)",0.53774756044609,0.551434492794787,0.414316425948779,0.934440476190476,0.371958111333111,0.847577561327561,0.992380952380952,0.417742878853173,0.625014122587652,0.373378913025972,0.551975558210852,0.457321453056747,0.533412393162393,0.459179153090918,0.627366613778379,0.483911147947913,0.654026814688579,0.72743672993673,0.720067922817923,0.732455026455026,0.485265873015873,0.475670274170274,0.578514050764051,0.589243239390618
"MaxDepth-MFHD",0.111111111111111,0.111111111111111,0.366682085071791,0.812469336219336,0.321758537758538,0.689762607762608,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.502388056388056,0.507131072631073,0.393002542936366,0.337761643585173,0.111111111111111,0.534190476190476,0.562098827098827,0.25,0.592406565656566,0.468470057720058,0.323879692179564
