"method","HighDim20","HighDim50","Imbalanced","LeadLag","Phase","Phase_nowarp","Setting1","Setting2","Setting2_async","Setting2a","Setting2b","Setting3","Setting4","Setting5","Setting5_async","Setting6","Setting6_async","Shape","Shape_async","Shape_noise","SharedWarp","SyncBreak","Thyroid_like","OVERALL"
"MFPCA-SVM",0.829503179826709,0.754751186721775,0.73875095452052,0.994125874125874,0.675826569944217,1,0.912123136123136,0.953953490953491,0.876241443741444,0.942929588929589,0.92302775002775,0.886164573988103,0.652305873320579,0.888453934953935,0.796931503137385,0.862211547711548,0.829864004187534,0.958980463980464,0.826958263958264,0.881946643770173,0.745282603017897,0.70779607565637,0.653709198438301,0.838775559175437
"SFKmL-C(dense) + kFDA",0.885310619663561,0.920084249084249,0.908890719425502,1,0.790551541051541,0.978193695193695,0.972391386391386,0.976511599511599,0.836332602582603,0.970838383838384,0.94617427017427,0.974809301809302,0.920402393902394,0.891783956783957,0.676031401604931,0.891981795981796,0.644625348507701,0.959619158619159,0.685681998284939,0.847364172864173,0.542609043734044,0.487371749982044,0.540214624499454,0.836859739716986
"DistSpace-bagdist",0.759850925218572,0.720564070690232,0.606525748730696,0.999160839160839,0.706674393517273,1,0.968502497502498,0.928120157620158,0.833809856265739,0.91777651977652,0.8962795701031,0.839476578976579,0.69000687748211,0.8435595681122,0.784855472958414,0.802453264600323,0.780042695866225,0.969079809079809,0.798758776082305,0.886063963813964,0.919511072261072,0.802542759528054,0.625664829723653,0.829533923785667
"SFKmL-C(dense) + mean",0.820667415917416,0.726150351282704,0.902371213649475,0.995815850815851,0.686686397165499,0.961785214785215,0.968590964590965,0.930489399489399,0.849025604025604,0.85674827024827,0.920934694934695,0.94109287009287,0.71475299917947,0.898166111666112,0.800813445813446,0.881467643467643,0.791943609767139,0.885069430569431,0.772874601977543,0.839317328640858,0.469209502099208,0.449064958734076,0.564867745544216,0.809908940193787
"DTW + SVM",0.822701648025177,0.769404849507791,0.832470732970733,1,0.802229129802659,0.999440559440559,0.998881118881119,0.915356976356976,0.79212620930268,0.89190293040293,0.898176784000313,0.92790231990232,0.746778186954658,0.875635642135642,0.480860019266366,0.853113775113775,0.461927123759167,0.970374958374958,0.411735019910716,0.898726467976468,0.774253486709369,0.810411283161283,0.448987154686845,0.799278103332283
"MFPLS-DA",0.807889952639953,0.765063584563585,0.834906755885017,0.988215784215784,0.383553411271678,1,0.982033078033078,0.942987012987013,0.861062083885613,0.945653013653014,0.91932412032412,0.922428349428349,0.76582369917664,0.86022533022533,0.777676728500258,0.848822714322714,0.816642817966347,0.855821930248401,0.71854256201315,0.750655668949787,0.50427021181433,0.476430576776165,0.576615550027315,0.795854127691637
"Euclid + SVM",0.814952573026102,0.774287728611258,0.769277499151412,0.98315651015651,0.373631572561139,1,0.984775224775225,0.924112406112406,0.860613005186535,0.897127872127872,0.907335738335738,0.878222016545546,0.581535107593931,0.828156426906427,0.800028046028046,0.831292568542568,0.833278984631926,0.887764918088447,0.814152421652422,0.81902096977097,0.571327124672713,0.488922572525514,0.639833163396631,0.794034976104319
"1NN-Euclid",0.699866043542514,0.651602441905073,0.644808935967507,0.998321678321678,0.717261377511378,0.993846153846154,0.938611388611389,0.863304325304325,0.79789888161947,0.846981962481962,0.828638731638732,0.811441223264753,0.646864222378928,0.742580117050705,0.693846065699007,0.74731514128573,0.739397130647131,0.938586635586636,0.763671296797458,0.79096800857095,0.767399753024753,0.720209353554942,0.589458806988219,0.779690420678234
"SFKmL-C(dense) + medoid",0.703408782250887,0.571769116218033,0.858945786131827,0.980722610722611,0.712503434474023,0.876843439240498,0.95583682983683,0.947470418470418,0.820924852924853,0.894483460983461,0.942353091353091,0.953722610722611,0.775060428133958,0.871703969777499,0.749010787916361,0.80779341029341,0.659217478284816,0.907777833277833,0.695590293693235,0.760297706650648,0.498565792051086,0.444026291518939,0.533585009417827,0.779200584101946
"MFPCA-LDA",0.794629275952805,0.776085211085211,0.766235077965513,0.981466533466533,0.419396214352097,1,0.984823176823177,0.880794094794095,0.861688975512505,0.843799309622839,0.873037145860675,0.821353905353905,0.560246897982192,0.832476282976283,0.771788329317741,0.808678227001756,0.818442076442076,0.844992655492655,0.781136576386576,0.829116455439985,0.516417585682292,0.484663863913864,0.635834493937435,0.777700102841835
