"base","perturbed","method","n_pairs","mean_base","mean_pert","loss","t"
"Setting2","Setting2_async","Euclid + centroid",100,0.72,0.732777777777778,-0.0127777777777778,1.87033770088623
"Setting2","Setting2_async","KmL3d-C (NC-Euclid)",100,0.72,0.732777777777778,-0.0127777777777778,1.87033770088623
"Setting2","Setting2_async","DD-classifier",100,0.657777777777778,0.670555555555556,-0.0127777777777777,1.51654178786306
"Setting2","Setting2_async","MaxDepth-MFHD",100,0.333333333333333,0.333333333333333,0,NA
"Setting2","Setting2_async","Subspace",100,0.55,0.534444444444444,0.0155555555555556,-1.01448091583238
"Setting2","Setting2_async","MFPCA-LDA",100,0.883333333333333,0.865,0.0183333333333333,-2.33280446665005
"Setting2","Setting2_async","Euclid + SVM",100,0.925,0.862777777777778,0.0622222222222222,-9.26854473025365
"Setting2","Setting2_async","1NN-Euclid",100,0.866666666666667,0.803333333333333,0.0633333333333333,-7.75309271487752
"Setting2","Setting2_async","Euclid + kNN",100,0.854444444444444,0.789444444444444,0.065,-6.74241044592469
"Setting2","Setting2_async","MFPCA-SVM",100,0.954444444444444,0.878888888888889,0.0755555555555555,-10.7981998839423
"Setting2","Setting2_async","SFKmL-C(dense) + mean",100,0.931666666666666,0.852222222222222,0.0794444444444444,-8.37670457744756
"Setting2","Setting2_async","MFPLS-DA",100,0.943888888888889,0.864444444444444,0.0794444444444444,-11.2305903835836
"Setting2","Setting2_async","DTW + medoid",100,0.753333333333333,0.662222222222222,0.0911111111111111,-7.7005000982899
"Setting2","Setting2_async","DistSpace-bagdist",100,0.929444444444444,0.837777777777778,0.0916666666666666,-10.580797277523
"Setting2","Setting2_async","SFKmL-C(dense) + SVM",100,0.982777777777778,0.88,0.102777777777778,-12.389077496856
"Setting2","Setting2_async","Euclid + kFDA",100,0.986666666666667,0.882222222222222,0.104444444444445,-13.5506327289601
"Setting2","Setting2_async","SFKmL-C(dense) + kNN",100,0.981111111111111,0.869444444444444,0.111666666666667,-13.2742591585943
"Setting2","Setting2_async","SFKmL-C(gap) + medoid",100,0.952222222222222,0.836111111111111,0.116111111111111,-12.9922029661358
"Setting2","Setting2_async","DTW + SVM",100,0.916111111111111,0.796111111111111,0.12,-11.6651368760115
"Setting2","Setting2_async","SFKmL-C(dense) + medoid",100,0.948333333333333,0.826666666666667,0.121666666666667,-13.1306924441403
"Setting2","Setting2_async","SFKmL-C(gaplab) + medoid",100,0.952777777777778,0.826666666666667,0.126111111111111,-13.0031508866891
"Setting2","Setting2_async","DTW + DBA",100,0.602222222222222,0.474444444444444,0.127777777777778,-8.91461775465917
"Setting2","Setting2_async","NC-DBA",100,0.602222222222222,0.474444444444444,0.127777777777778,-8.91461775465917
"Setting2","Setting2_async","MFKmL-C + medoid",100,0.755,0.624444444444444,0.130555555555555,-8.53370821063011
"Setting2","Setting2_async","SFKmL-C + mean",100,0.936666666666667,0.804444444444444,0.132222222222222,-13.6366497817534
"Setting2","Setting2_async","SFKmL-C(dense) + kFDA",100,0.976666666666667,0.841666666666667,0.135,-15.2154422474288
"Setting2","Setting2_async","SFKmL-C + medoid",100,0.941666666666667,0.803888888888889,0.137777777777778,-14.2237754999748
"Setting2","Setting2_async","SFKmL-C + kNN",100,0.978888888888889,0.839444444444444,0.139444444444444,-13.407037969237
"Setting2","Setting2_async","DistSpace-Frechet",100,0.978888888888889,0.836666666666667,0.142222222222222,-14.8898635715303
"Setting2","Setting2_async","SFKmL-C + SVM",100,0.975555555555556,0.832222222222222,0.143333333333333,-15.2230982554521
"Setting2","Setting2_async","MFKmL-C + mean",100,0.851666666666667,0.678888888888889,0.172777777777778,-12.873391462903
"Setting2","Setting2_async","SFKmL-C + kFDA",100,0.981111111111111,0.787777777777778,0.193333333333333,-16.876268481401
"Setting2","Setting2_async","DTW + kNN",100,0.92,0.725555555555556,0.194444444444444,-20.4850354698422
"Setting2","Setting2_async","1NN-DTW",100,0.927777777777778,0.731111111111111,0.196666666666667,-21.4024975871636
"Setting2","Setting2_async","MFKmL-C + SVM",100,0.953333333333333,0.712777777777778,0.240555555555555,-18.7474972293395
"Setting2","Setting2_async","MFKmL-C + kNN",100,0.961111111111111,0.713888888888889,0.247222222222222,-22.9334177544342
"Setting2","Setting2_async","DTW + kFDA",100,0.954444444444444,0.68,0.274444444444444,-24.0515739796658
"Setting2","Setting2_async","MFKmL-C + kFDA",100,0.968888888888889,0.693888888888889,0.275,-24.011026878597
"Setting2","Setting2_async","1NN-DDTW",100,0.858333333333333,0.572777777777778,0.285555555555555,-19.5256723407116
"Setting5","Setting5_async","MaxDepth-MBD (w)",100,0.443888888888889,0.588888888888889,-0.145,9.29970717461812
"Setting5","Setting5_async","Euclid + medoid",100,0.586666666666667,0.596111111111111,-0.00944444444444441,0.845623056363055
"Setting5","Setting5_async","MaxDepth-MFHD",100,0.481111111111111,0.49,-0.0088888888888889,0.684167454928235
"Setting5","Setting5_async","DD-classifier",100,0.635555555555556,0.64,-0.00444444444444449,0.458526859417213
"Setting5","Setting5_async","Euclid + centroid",100,0.723888888888889,0.727222222222222,-0.00333333333333328,0.45567960877073
"Setting5","Setting5_async","KmL3d-C (NC-Euclid)",100,0.723888888888889,0.727222222222222,-0.00333333333333328,0.45567960877073
"Setting5","Setting5_async","MaxDepth-MBD",100,0.569444444444445,0.572222222222222,-0.0027777777777778,0.291761336640139
"Setting5","Setting5_async","Subspace",100,0.545555555555556,0.538888888888889,0.00666666666666669,-0.491322699580708
"Setting5","Setting5_async","Euclid + SVM",100,0.83,0.803888888888889,0.0261111111111111,-3.61971415961647
"Setting5","Setting5_async","Euclid + kNN",100,0.736111111111111,0.698888888888889,0.0372222222222223,-3.66912966462549
"Setting5","Setting5_async","1NN-Euclid",100,0.750555555555556,0.706666666666667,0.0438888888888889,-4.07219992220996
"Setting5","Setting5_async","DistSpace-bagdist",100,0.844444444444444,0.786111111111111,0.0583333333333333,-4.86714432379936
"Setting5","Setting5_async","MFPCA-LDA",100,0.835,0.775555555555556,0.0594444444444444,-6.47306119526629
"Setting5","Setting5_async","MFPLS-DA",100,0.863333333333333,0.782222222222222,0.081111111111111,-8.03531399251249
"Setting5","Setting5_async","MFPCA-SVM",100,0.89,0.799444444444444,0.0905555555555554,-8.57990770731173
"Setting5","Setting5_async","SFKmL-C(dense) + mean",100,0.900555555555555,0.806666666666667,0.0938888888888888,-8.77284863889547
"Setting5","Setting5_async","SFKmL-C(dense) + SVM",100,0.967222222222222,0.866666666666667,0.100555555555555,-12.1587172220248
"Setting5","Setting5_async","Euclid + kFDA",100,0.941111111111111,0.828333333333333,0.112777777777778,-11.3104417243925
"Setting5","Setting5_async","DistSpace-Frechet",100,0.977222222222222,0.861111111111111,0.116111111111111,-15.7562286241291
"Setting5","Setting5_async","SFKmL-C(dense) + medoid",100,0.875,0.757777777777778,0.117222222222222,-10.1267922218964
"Setting5","Setting5_async","SFKmL-C + medoid",100,0.948333333333333,0.83,0.118333333333333,-13.699880449568
"Setting5","Setting5_async","SFKmL-C(gap) + medoid",100,0.953333333333333,0.831666666666667,0.121666666666667,-13.1786340853995
"Setting5","Setting5_async","SFKmL-C(gaplab) + medoid",100,0.954444444444444,0.831111111111111,0.123333333333333,-12.9008467199201
"Setting5","Setting5_async","SFKmL-C + SVM",100,0.975555555555555,0.847222222222222,0.128333333333333,-13.152314075196
"Setting5","Setting5_async","SFKmL-C + kNN",100,0.976666666666667,0.842777777777778,0.133888888888889,-15.8739985279414
"Setting5","Setting5_async","SFKmL-C(dense) + kNN",100,0.951111111111111,0.815,0.136111111111111,-15.9103920467056
"Setting5","Setting5_async","SFKmL-C + mean",100,0.94,0.799444444444444,0.140555555555555,-15.7053498061511
"Setting5","Setting5_async","1NN-DDTW",100,0.556111111111111,0.412222222222222,0.143888888888889,-8.40445483292796
"Setting5","Setting5_async","DTW + DBA",100,0.543333333333333,0.388888888888889,0.154444444444445,-8.40458137398512
"Setting5","Setting5_async","NC-DBA",100,0.543333333333333,0.388888888888889,0.154444444444445,-8.40458137398512
"Setting5","Setting5_async","SFKmL-C + kFDA",100,0.975555555555555,0.812777777777778,0.162777777777778,-14.4593776534611
"Setting5","Setting5_async","MFKmL-C + medoid",100,0.618333333333333,0.414444444444444,0.203888888888889,-12.7823089957965
"Setting5","Setting5_async","SFKmL-C(dense) + kFDA",100,0.893888888888889,0.681111111111111,0.212777777777778,-17.0405497659556
"Setting5","Setting5_async","DTW + medoid",100,0.663333333333333,0.393888888888889,0.269444444444445,-15.7669425438715
"Setting5","Setting5_async","MFKmL-C + kNN",100,0.727777777777778,0.454444444444444,0.273333333333333,-19.9958017483687
"Setting5","Setting5_async","MFKmL-C + mean",100,0.793333333333333,0.490555555555556,0.302777777777778,-17.9489140853897
"Setting5","Setting5_async","DTW + kFDA",100,0.802222222222222,0.478888888888889,0.323333333333333,-19.6016741386778
"Setting5","Setting5_async","1NN-DTW",100,0.782777777777778,0.443888888888889,0.338888888888889,-21.4720763452961
"Setting5","Setting5_async","MFKmL-C + SVM",100,0.827222222222222,0.485,0.342222222222222,-21.9255497018827
"Setting5","Setting5_async","DTW + kNN",100,0.795,0.451666666666667,0.343333333333333,-23.6368027773345
"Setting5","Setting5_async","MFKmL-C + kFDA",100,0.77,0.417222222222222,0.352777777777778,-22.554108243555
"Setting5","Setting5_async","DTW + SVM",100,0.876666666666666,0.502222222222222,0.374444444444444,-28.5115420957936
"Setting6","Setting6_async","MaxDepth-MBD (w)",100,0.457777777777778,0.611666666666667,-0.153888888888889,10.1889134037358
"Setting6","Setting6_async","MFPCA-LDA",100,0.813888888888889,0.823333333333333,-0.00944444444444442,1.36254579712042
"Setting6","Setting6_async","Euclid + centroid",100,0.796666666666667,0.805555555555555,-0.00888888888888889,1.31108219290368
"Setting6","Setting6_async","KmL3d-C (NC-Euclid)",100,0.796666666666667,0.805555555555555,-0.00888888888888889,1.31108219290368
"Setting6","Setting6_async","DD-classifier",100,0.681111111111111,0.689444444444445,-0.00833333333333337,0.878310065653684
"Setting6","Setting6_async","Euclid + SVM",100,0.833333333333333,0.836111111111111,-0.00277777777777775,0.449031544440072
"Setting6","Setting6_async","MaxDepth-MBD",100,0.580555555555556,0.579444444444445,0.00111111111111112,-0.109884681594738
"Setting6","Setting6_async","Euclid + kNN",100,0.745555555555556,0.741111111111111,0.00444444444444445,-0.469563603496146
"Setting6","Setting6_async","MaxDepth-MFHD",100,0.378888888888889,0.373333333333333,0.00555555555555557,-0.555347832401705
"Setting6","Setting6_async","1NN-Euclid",100,0.759444444444444,0.751666666666667,0.00777777777777782,-0.860521721950715
"Setting6","Setting6_async","Euclid + medoid",100,0.654444444444444,0.642222222222222,0.0122222222222222,-1.08749431896004
"Setting6","Setting6_async","DistSpace-bagdist",100,0.806666666666667,0.786111111111111,0.0205555555555555,-1.98113807031033
"Setting6","Setting6_async","MFPCA-SVM",100,0.865,0.835,0.03,-3.46215930962193
"Setting6","Setting6_async","MFPLS-DA",100,0.851666666666667,0.820555555555555,0.0311111111111111,-3.30261279364619
