"method","HighDim20","HighDim50","Imbalanced","LeadLag","Phase","Phase_nowarp","Setting1","Setting2","Setting2_async","Setting2a","Setting2b","Setting3","Setting4","Setting5","Setting5_async","Setting6","Setting6_async","Shape","Shape_async","Shape_noise","SharedWarp","SyncBreak","Thyroid_like","OVERALL"
"KmL3d-C (NC-Euclid)",1.02537778685901,1.06299918652497,0.915621332394354,0.532947445045166,1.0895964347751,0.908731911918783,0.751192477303638,0.913674281890258,0.900861098032697,0.938503655074853,0.90946505621308,0.903835747457854,1.05172735392125,0.98248862089363,0.983171134610474,0.984847288002846,0.994116997796621,0.843386943878904,0.97144390950243,0.959082301212229,0.696921778950975,0.696427976980762,1.00323261363527,0.913897970994572
"SFKmL-C(dense) + mean",1.04143073614417,1.07500923938215,0.861725260899262,0.551419501558478,1.04272928724002,0.978133269144514,0.715220306320922,0.71744925639049,0.808691143829849,0.754105848866448,0.716017302938265,0.806001225478832,0.950928539440588,0.906711094511967,0.950971696756027,0.991437681905605,1.01520635422749,0.764032692180771,0.989540650551241,0.961254503791065,0.699000005971715,0.696469067400649,1.02900372693249,0.870542973559261
"SFKmL-C(dense) + medoid",1.04234877012461,1.07676133449188,0.857217941409975,0.552539765904991,1.02084779920307,0.971775926597163,0.706090089325482,0.66966777946827,0.789881823846269,0.701763370924156,0.676186843005957,0.751563253158369,0.864108802004246,0.893713010779939,0.94833372259924,0.981583252756822,1.01960989510294,0.738339751982425,0.998273888510031,0.970801196279817,0.697391762772933,0.702765776642643,1.02805827048586,0.854766262059873
"MFKmL-C + kFDA",0.925683453546817,0.956102540624867,0.712366774537928,0.279176025260638,1.04349276519842,0.933840571331541,0.526099803552703,0.536560445973049,0.819889304287867,0.549530854939375,0.60041991010831,0.599069460911976,0.700386079214861,0.731981083946034,1.09154957530418,0.837488096006653,1.03811022355294,0.565865271335671,1.11356144740498,0.957033866139663,0.482919478963186,0.762297364538723,1.12209195027984,0.77763114552001
"SFKmL-C + mean",0.738394143982584,0.760411511495486,0.659081617036172,0.260074867429133,0.951583903717966,0.769082522486514,0.645043288238902,0.737567933353119,0.795976535521469,0.74515258054713,0.723830506635064,0.739400150308242,0.862532096902406,0.730318958693043,0.802491172382848,0.733432496215549,0.803473948632025,0.76461315501114,0.837057045017534,0.768311357976405,0.698487593137507,0.698745967587903,0.962370363710232,0.747279726783407
"SFKmL-C + medoid",0.692813781199443,0.713163341983266,0.617525010523889,0.254734820327755,0.883418622478673,0.743415568008823,0.644924759387028,0.68638507981157,0.770728687761848,0.691223844018237,0.685897802180821,0.688985540796745,0.794384885563893,0.679333166102201,0.775259693014739,0.684770260085421,0.772888215483567,0.735861110518927,0.823339120865191,0.74167428985494,0.694284219951039,0.705318394987301,0.934006416108832,0.713666810044093
"SFKmL-C(gap) + medoid",0.679888648446977,0.693950698533578,0.614746797993598,0.254734820327755,0.879629910531169,0.742751863711492,0.661786576193826,0.673490824877274,0.786131545322446,0.696952066076284,0.675993430222903,0.683349428493005,0.77128417903822,0.675084569105188,0.774161094504784,0.67911841314197,0.762500030566566,0.738058476477779,0.820626678813907,0.73675227072103,0.697632011259505,0.7047094371142,0.934383960286826,0.710335553554795
"SFKmL-C(gaplab) + medoid",0.681387271083914,0.693950698533578,0.613365309216907,0.254734820327755,0.878849063627218,0.742751863711492,0.642306611809237,0.673760764954036,0.781797774342866,0.691208556463654,0.676210302094091,0.682309558952252,0.755309968621561,0.675077676593855,0.77163913066353,0.678570431428831,0.75816958251346,0.737251782600073,0.82067081902546,0.73673168240962,0.699521113725999,0.706038659019303,0.934370684435553,0.708086266354532
"DTW + kFDA",0.712108111636519,0.808878432734932,0.650952772466484,0.149935083417578,0.814287460250527,0.570529627998829,0.379929974944592,0.568717886121149,0.836275379005821,0.569321810678944,0.608701008881372,0.629381287775217,0.622384170779833,0.698846282939138,1.04014150312142,0.705590924885028,1.03528806579078,0.570364948504854,1.1029509674151,0.741958058484776,0.475177616244197,0.635741717445321,1.10368065444942,0.697006249824862
"SFKmL-C(dense) + kFDA",0.632821752304367,0.653901077892507,0.580213501915767,0.178538979707459,0.74905070459742,0.591800872458433,0.473047652373566,0.530173501871068,0.685057841009098,0.533491268492202,0.574852240877609,0.558587151368928,0.619520798890585,0.632072257282521,0.819079024067513,0.643509922345831,0.838446303304592,0.571642095245457,0.822935758847079,0.702323516471891,0.809475277278309,0.847617237913633,0.9438009570559,0.651824334503119
"Euclid + kFDA",0.707115667167325,0.806938417798541,0.546349894172261,0.170345268886263,1.04216333604851,0.516205683878204,0.425748475085794,0.511694816669761,0.610438590559382,0.51286219621014,0.544508716099169,0.5315246142497,0.612770158888499,0.577040768237481,0.672660144501364,0.637575760269662,0.67806299411182,0.560225325106532,0.704342472688127,0.704286706189696,0.545042287817205,0.656893010235474,0.832383649157591,0.613355606696891
"SFKmL-C + kFDA",0.528239892917856,0.530712102321254,0.525936565834479,0.149600949697306,0.673799912052717,0.562688106891369,0.47545543470301,0.515779123037354,0.727781327351398,0.511583192428579,0.577361543907514,0.520935915938695,0.579777593557208,0.521344434005322,0.69486118163618,0.52289228326172,0.693251672636702,0.576175039640308,0.644512128563554,0.575511705380393,0.85105180777376,0.823546254556648,0.781429023511275,0.589749008330635
"MFPCA-LDA",0.534203553295246,0.556930323006404,0.474417835327141,0.192672554045416,1.13073035658942,3.20731096002824e-18,0.0608582530657267,0.431707405733661,0.458027444218798,0.552286650528723,0.433506856230708,0.480407760193212,0.933634656953354,0.476824019203251,0.543245377011394,0.495905242490315,0.490871480341019,0.511268632551547,0.555884867079507,0.497300329318177,0.786945675458449,0.788507425645171,0.788205221209067,0.529319213891118
"MFKmL-C + SVM",0.462307380577443,0.647951983877365,0.365304588033086,0.046682026745553,0.880908039616017,0.547434129395319,0.221821864467931,0.176393596746483,0.674882544119874,0.191600351264686,0.239462611802126,0.207098394822527,0.709206752507631,0.425751379212315,1.01071385814464,0.345280529118404,1.042154304514,0.137932320181229,1.06326452597408,0.613708549192564,0.437007574525696,0.562138762512672,1.04416730071743,0.524051016003003
"DTW + SVM",0.442625113229353,0.527503091236984,0.291628320195834,0.118778818592674,0.59009843280815,0.0478898610165156,0.070009989874836,0.248072077582383,0.545155399797725,0.304320386706403,0.291383393851568,0.246076881375819,0.523455918180999,0.350417397963696,0.972402260150651,0.365655327032796,1.03024893034692,0.148184292509146,1.03970486938535,0.301067236327356,0.472474770167452,0.411084406554447,1.02894041458322,0.450746851716099
"Euclid + SVM",0.450724497104512,0.517199045030239,0.34385034837968,0.0845087910089892,1.08740382594266,0.0303472983863551,0.0989327103354997,0.245010604840214,0.378281944449999,0.321618782100789,0.294054062539796,0.327780377965202,0.810399252844528,0.432718280593281,0.484955614157984,0.411528193306305,0.420916381830706,0.327989378280378,0.487878622352956,0.469603897121646,0.665327844197857,0.717901013941455,0.739900378409249,0.441253528048708
"MFPCA-SVM",0.420654301935832,0.566149504524039,0.298014420723775,0.0364646523699599,0.797384529417153,0.0441545886910394,0.246130194662574,0.174396690691969,0.358397870296636,0.201530327729733,0.244205940417106,0.296825352620944,0.732967769121051,0.30884467267838,0.486089080971914,0.347440695722463,0.428845358399219,0.175974581967178,0.460160744240975,0.343555012318925,0.525887385514905,0.578195617646782,0.726706154779266,0.382564149888775
"SFKmL-C + SVM",0.121835331661197,0.124314499649542,0.114309123659775,0.0380854299415114,0.226187043414148,0.0827807856791394,0.0793628450565198,0.129525675590365,0.445322124793154,0.136379626024083,0.20127311463272,0.122222152308494,0.366965151590032,0.130063205981061,0.405862862996761,0.123705787208935,0.376341484984464,0.151626542210092,0.330181253737471,0.152835159959051,0.713829132519955,0.731291156763258,0.71819804665144,0.261847719000573
"SFKmL-C(dense) + SVM",0.150618899264194,0.249297027075696,0.113480858512943,0.0389896171702054,0.236192251907469,0.0773637691666511,0.0872237160647076,0.116552873722912,0.351950336870653,0.136997216023338,0.156834244518499,0.101852194495637,0.235264754121744,0.137111870607046,0.367047846305754,0.139527987085082,0.346698477163504,0.147280637460329,0.337879015704635,0.180007396999072,0.721000344182217,0.736537090953633,0.734444478883174,0.2565283871417
