"method","HighDim20","HighDim50","Imbalanced","LeadLag","Phase","Phase_nowarp","Setting1","Setting2","Setting2_async","Setting2a","Setting2b","Setting3","Setting4","Setting5","Setting5_async","Setting6","Setting6_async","Shape","Shape_async","Shape_noise","SharedWarp","SyncBreak","Thyroid_like","OVERALL"
"SFKmL-C(dense) + medoid",0.712222222222222,0.580555555555556,0.906666666666667,0.980833333333333,0.722777777777778,0.878333333333333,0.956666666666666,0.948333333333333,0.826666666666667,0.896111111111111,0.942777777777778,0.954444444444444,0.781666666666667,0.875,0.757777777777778,0.814444444444444,0.675555555555556,0.908333333333333,0.704444444444445,0.766111111111111,0.514166666666667,0.4675,0.542222222222222,0.787548309178744
"MFPCA-LDA",0.801111111111111,0.785555555555556,0.858333333333333,0.981666666666667,0.437222222222222,1,0.985,0.883333333333333,0.865,0.846666666666667,0.875555555555555,0.825,0.574444444444444,0.835,0.775555555555556,0.813888888888889,0.823333333333333,0.848888888888889,0.783888888888889,0.831111111111111,0.531666666666667,0.5,0.642777777777778,0.787173913043478
"DTW + kFDA",0.835555555555555,0.786666666666667,0.833333333333333,1,0.712222222222222,1,0.976111111111111,0.954444444444444,0.68,0.95,0.901666666666667,0.908888888888889,0.908888888888889,0.802222222222222,0.478888888888889,0.809444444444444,0.477777777777778,0.973333333333333,0.405555555555556,0.771111111111111,0.79,0.671666666666667,0.402222222222222,0.783913043478261
"DTW + kNN",0.711666666666667,0.67,0.82,1,0.813333333333333,0.974444444444444,0.997222222222222,0.92,0.725555555555556,0.895555555555555,0.893333333333333,0.871666666666667,0.774444444444444,0.795,0.451666666666667,0.762222222222222,0.461666666666667,0.973333333333333,0.390555555555555,0.863333333333333,0.858333333333333,0.824166666666667,0.430555555555556,0.777306763285024
"1NN-DTW",0.716666666666667,0.666666666666667,0.836111111111111,1,0.787777777777778,0.936111111111111,0.997222222222222,0.927777777777778,0.731111111111111,0.902777777777778,0.901666666666667,0.876111111111111,0.790555555555556,0.782777777777778,0.443888888888889,0.786666666666667,0.453888888888889,0.976666666666667,0.392222222222222,0.846666666666667,0.853333333333333,0.805,0.412777777777778,0.774975845410628
"MFKmL-C + SVM",0.806666666666667,0.705,0.862777777777778,0.999166666666667,0.598888888888889,0.778333333333333,0.937222222222222,0.953333333333333,0.712777777777778,0.946111111111111,0.928888888888889,0.940555555555555,0.693888888888889,0.827222222222222,0.485,0.868888888888889,0.466111111111111,0.979444444444444,0.422777777777778,0.714444444444444,0.814166666666667,0.718333333333333,0.440555555555556,0.76524154589372
"MFKmL-C + kNN",0.658888888888889,0.576666666666667,0.813333333333333,1,0.641666666666667,0.776666666666667,0.975,0.961111111111111,0.713888888888889,0.950555555555555,0.925,0.868333333333333,0.82,0.727777777777778,0.454444444444444,0.7,0.461111111111111,0.980555555555556,0.438888888888889,0.736666666666667,0.8475,0.7675,0.431111111111111,0.748985507246377
"Euclid + centroid",0.792222222222222,0.789444444444444,0.81,0.936666666666667,0.424444444444444,0.999444444444444,0.940555555555555,0.72,0.732777777777778,0.678888888888889,0.717222222222222,0.803333333333333,0.470555555555556,0.723888888888889,0.727222222222222,0.796666666666667,0.805555555555555,0.796111111111111,0.767777777777778,0.785555555555556,0.503333333333333,0.490833333333333,0.618888888888889,0.731799516908213
"KmL3d-C (NC-Euclid)",0.792222222222222,0.789444444444444,0.81,0.936666666666667,0.424444444444444,0.999444444444444,0.940555555555555,0.72,0.732777777777778,0.678888888888889,0.717222222222222,0.803333333333333,0.470555555555556,0.723888888888889,0.727222222222222,0.796666666666667,0.805555555555555,0.796111111111111,0.767777777777778,0.785555555555556,0.503333333333333,0.490833333333333,0.618888888888889,0.731799516908213
"MFKmL-C + mean",0.743888888888889,0.665,0.796666666666667,0.9875,0.533333333333333,0.582222222222222,0.915555555555555,0.851666666666667,0.678888888888889,0.838333333333333,0.837777777777778,0.901111111111111,0.552777777777778,0.793333333333333,0.490555555555556,0.802222222222222,0.470555555555556,0.908333333333333,0.442222222222222,0.643888888888889,0.694166666666667,0.669166666666667,0.447777777777778,0.706388888888889
